Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";82386048619;Taip;0;0;14;14
2;Aitvaras;"VIJURKAI (ALERG.)";86008218554;Taip;2;1;0;3
3;Aitvaras;"VIJURKAI (ALERG.)";44900473149;Taip;0;4;0;4
4;Aitvaras;"VIJURKAI (ALERG.)";9065712699;Taip;0;3;0;3
5;Aitvaras;"VIJURKAI (ALERG.)";63345306760;Taip;2;3;0;5
6;Aitvaras;"VIJURKAI (ALERG.)";84623684490;Taip;0;5;0;5
7;Aitvaras;"VIJURKAI (ALERG.)";16402806518;Taip;9;0;1;10
8;Aitvaras;"VIJURKAI (ALERG.)";74266054705;Taip;9;0;1;10
9;Aitvaras;"VIJURKAI (ALERG.)";40455080945;Taip;0;6;0;6
10;Aitvaras;"VIJURKAI (ALERG.)";1156348512;Taip;0;2;0;2
11;Aitvaras;"VIJURKAI (ALERG.)";3724722474;Taip;6;0;0;6
12;Aitvaras;"VIJURKAI (ALERG.)";15430509460;Taip;15;0;0;15
13;Aitvaras;"VIJURKAI (ALERG.)";1795308718;Taip;19;1;0;20
14;Aitvaras;"VIJURKAI (ALERG.)";1130945040;Taip;0;0;1;1
15;Aitvaras;"VIJURKAI (ALERG.)";1652249394;Taip;4;1;0;5
16;Aitvaras;"VIJURKAI (ALERG.)";33729670803;Taip;10;0;1;11
17;Aitvaras;"SMALSUČIAI (ALERG.)";1396233353;Taip;0;9;0;9
18;Aitvaras;"SMALSUČIAI (ALERG.)";19974574043;Taip;3;0;0;3
19;Aitvaras;"SMALSUČIAI (ALERG.)";28583194438;Taip;13;1;0;14
20;Aitvaras;"SMALSUČIAI (ALERG.)";23092799474;Taip;0;4;0;4
21;Aitvaras;"SMALSUČIAI (ALERG.)";1286577536;Taip;15;0;0;15
22;Aitvaras;"SMALSUČIAI (ALERG.)";63572158244;Taip;0;7;0;7
23;Aitvaras;"SMALSUČIAI (ALERG.)";2259914595;Taip;0;9;0;9
24;Aitvaras;"SMALSUČIAI (ALERG.)";65184449922;Taip;0;0;1;1
25;Aitvaras;"SMALSUČIAI (ALERG.)";35989222658;Taip;0;2;0;2
26;Aitvaras;"SMALSUČIAI (ALERG.)";38025877986;Taip;6;1;0;7
27;Aitvaras;"SMALSUČIAI (ALERG.)";2758970705;Taip;0;0;2;2
28;Aitvaras;"SMALSUČIAI (ALERG.)";64844875547;Taip;7;3;0;10
29;Aitvaras;"SMALSUČIAI (ALERG.)";909566870;Taip;0;4;0;4
30;Aitvaras;"SMALSUČIAI (ALERG.)";40103691282;Taip;0;1;1;2
31;Aitvaras;"SMALSUČIAI (ALERG.)";91112093978;Taip;9;2;0;11
32;Aitvaras;PADAUŽIUKAI;891634233;Taip;14;3;0;17
33;Aitvaras;PADAUŽIUKAI;37239090522;Taip;11;0;0;11
34;Aitvaras;PADAUŽIUKAI;51360850840;Taip;5;1;0;6
35;Aitvaras;PADAUŽIUKAI;8487865580;Taip;20;0;0;20
36;Aitvaras;PADAUŽIUKAI;56549255312;Taip;0;1;0;1
37;Aitvaras;PADAUŽIUKAI;83870816281;Taip;0;4;0;4
38;Aitvaras;PADAUŽIUKAI;18199282002;Taip;10;0;1;11
39;Aitvaras;PADAUŽIUKAI;98187921839;Taip;5;0;0;5
40;Aitvaras;PADAUŽIUKAI;76493460153;Taip;0;5;2;7
41;Aitvaras;PADAUŽIUKAI;23252314829;Taip;0;4;0;4
42;Aitvaras;PADAUŽIUKAI;2910005555;Taip;7;0;0;7
43;Aitvaras;PADAUŽIUKAI;18037655336;Taip;0;4;1;5
44;Aitvaras;PADAUŽIUKAI;7240754055;Taip;13;0;0;13
45;Aitvaras;PADAUŽIUKAI;44035041676;Taip;0;5;0;5
46;Aitvaras;PADAUŽIUKAI;53743278288;Taip;6;0;0;6
47;Aitvaras;PADAUŽIUKAI;80728374682;Taip;0;0;1;1
48;Aitvaras;PADAUŽIUKAI;57489495125;Taip;0;1;1;2
49;Aitvaras;PADAUŽIUKAI;86739069318;Taip;0;1;0;1
50;Aitvaras;PADAUŽIUKAI;33594031405;Taip;5;1;1;7
51;Aitvaras;"AITVARIUKAI (ALERG.)";37391225613;Taip;5;5;0;10
52;Aitvaras;"AITVARIUKAI (ALERG.)";85103026654;Taip;0;1;0;1
53;Aitvaras;"AITVARIUKAI (ALERG.)";76280361479;Taip;0;7;0;7
54;Aitvaras;"AITVARIUKAI (ALERG.)";36359228257;Taip;9;5;0;14
55;Aitvaras;"AITVARIUKAI (ALERG.)";2674192321;Taip;20;0;0;20
56;Aitvaras;"AITVARIUKAI (ALERG.)";13670186807;Taip;20;0;0;20
57;Aitvaras;"AITVARIUKAI (ALERG.)";31074942686;Taip;0;9;0;9
58;Aitvaras;"AITVARIUKAI (ALERG.)";12962784212;Ne;0;6;0;6
59;Aitvaras;"AITVARIUKAI (ALERG.)";1542575012;Taip;19;0;0;19
60;Aitvaras;"AITVARIUKAI (ALERG.)";1223627682;Taip;8;0;0;8
61;Aitvaras;"AITVARIUKAI (ALERG.)";3471031093;Taip;15;0;0;15
62;Aitvaras;"AITVARIUKAI (ALERG.)";9810370596;Taip;12;0;0;12
63;Aitvaras;"AITVARIUKAI (ALERG.)";34735287315;Taip;0;5;6;11
64;Aitvaras;"AITVARIUKAI (ALERG.)";4833313373;Taip;0;1;1;2
65;Aitvaras;"AITVARIUKAI (ALERG.)";84919478493;Taip;7;0;0;7
66;Aitvaras;"AITVARIUKAI (ALERG.)";9745864667;Taip;20;0;0;20
67;Aitvaras;"AITVARIUKAI (ALERG.)";5389627560;Taip;6;0;0;6
68;Aitvaras;"AITVARIUKAI (ALERG.)";5956333024;Taip;8;7;0;15
69;Aitvaras;"AITVARIUKAI (ALERG.)";1636794584;Taip;19;0;0;19
70;Aitvaras;"AITVARIUKAI (ALERG.)";2953536545;Taip;14;0;0;14
71;Aitvaras;"AITVARIUKAI (ALERG.)";3535659630;Taip;0;0;5;5
