Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";1795308718;Taip;0;2;0;2
2;Aitvaras;"VIJURKAI (ALERG.)";9649742132;Taip;0;5;0;5
3;Aitvaras;"VIJURKAI (ALERG.)";84922258988;Taip;0;5;0;5
4;Aitvaras;"VIJURKAI (ALERG.)";1201862001;Taip;0;2;7;9
5;Aitvaras;"VIJURKAI (ALERG.)";8970519668;Taip;0;4;0;4
6;Aitvaras;"VIJURKAI (ALERG.)";1621302802;Taip;0;7;0;7
7;Aitvaras;"VIJURKAI (ALERG.)";94080483856;Taip;0;9;0;9
8;Aitvaras;"VIJURKAI (ALERG.)";5083382326;Taip;0;1;0;1
9;Aitvaras;"VIJURKAI (ALERG.)";1834535594;Taip;11;1;0;12
10;Aitvaras;"VIJURKAI (ALERG.)";7083046536;Taip;11;1;0;12
11;Aitvaras;"VIJURKAI (ALERG.)";1773366241;Taip;9;0;1;10
12;Aitvaras;"VIJURKAI (ALERG.)";1553462849;Taip;0;11;0;11
13;Aitvaras;"VIJURKAI (ALERG.)";1398792964;Taip;0;12;0;12
14;Aitvaras;"VIJURKAI (ALERG.)";5770779699;Taip;7;2;0;9
15;Aitvaras;"VIJURKAI (ALERG.)";3716313515;Taip;0;10;0;10
16;Aitvaras;"VIJURKAI (ALERG.)";8366627546;Taip;0;7;0;7
17;Aitvaras;"VIJURKAI (ALERG.)";1481849611;Taip;11;0;0;11
18;Aitvaras;"VIJURKAI (ALERG.)";1090979323;Taip;0;2;1;3
19;Aitvaras;"SMALSUČIAI (ALERG.)";85826303673;Taip;0;2;0;2
20;Aitvaras;"SMALSUČIAI (ALERG.)";7592535089;Taip;5;9;0;14
21;Aitvaras;"SMALSUČIAI (ALERG.)";9845539641;Taip;0;12;0;12
22;Aitvaras;"SMALSUČIAI (ALERG.)";44139920757;Taip;2;9;0;11
23;Aitvaras;"SMALSUČIAI (ALERG.)";3001619281;Taip;0;6;0;6
24;Aitvaras;"SMALSUČIAI (ALERG.)";4708741626;Taip;0;5;0;5
25;Aitvaras;"SMALSUČIAI (ALERG.)";1301667420;Taip;0;11;0;11
26;Aitvaras;"SMALSUČIAI (ALERG.)";47686798724;Taip;0;3;0;3
27;Aitvaras;"SMALSUČIAI (ALERG.)";1892295973;Taip;0;3;0;3
28;Aitvaras;"SMALSUČIAI (ALERG.)";89623351867;Taip;0;5;0;5
29;Aitvaras;"SMALSUČIAI (ALERG.)";5204534227;Taip;0;4;0;4
30;Aitvaras;"SMALSUČIAI (ALERG.)";2674192321;Taip;0;1;0;1
31;Aitvaras;"SMALSUČIAI (ALERG.)";37391225613;Taip;0;9;0;9
32;Aitvaras;"SMALSUČIAI (ALERG.)";36359228257;Taip;0;9;0;9
33;Aitvaras;"SMALSUČIAI (ALERG.)";31074942686;Taip;0;7;0;7
34;Aitvaras;"SMALSUČIAI (ALERG.)";13670186807;Taip;14;0;2;16
35;Aitvaras;"SMALSUČIAI (ALERG.)";76280361479;Taip;0;12;1;13
36;Aitvaras;"SMALSUČIAI (ALERG.)";85103026654;Taip;0;3;0;3
37;Aitvaras;"SMALSUČIAI (ALERG.)";12962784212;Ne;0;7;0;7
38;Aitvaras;"SMALSUČIAI (ALERG.)";14251469975;Taip;5;5;0;10
39;Aitvaras;PADAUŽIUKAI;75662895254;Taip;0;2;0;2
40;Aitvaras;PADAUŽIUKAI;46998364516;Taip;0;10;0;10
41;Aitvaras;PADAUŽIUKAI;1355296093;Taip;0;9;0;9
42;Aitvaras;PADAUŽIUKAI;2136550853;Ne;0;8;0;8
43;Aitvaras;PADAUŽIUKAI;87846069433;Taip;0;2;0;2
44;Aitvaras;PADAUŽIUKAI;30517554931;Taip;0;9;0;9
45;Aitvaras;PADAUŽIUKAI;1850900990;Taip;0;1;0;1
46;Aitvaras;PADAUŽIUKAI;69145890005;Taip;0;1;0;1
47;Aitvaras;PADAUŽIUKAI;89194677727;Taip;0;6;0;6
48;Aitvaras;PADAUŽIUKAI;45833790181;Taip;0;9;0;9
49;Aitvaras;PADAUŽIUKAI;1371102633;Taip;5;8;0;13
50;Aitvaras;PADAUŽIUKAI;24017694836;Taip;0;5;0;5
51;Aitvaras;PADAUŽIUKAI;2092431875;Taip;0;5;0;5
52;Aitvaras;PADAUŽIUKAI;12216502128;Taip;0;5;0;5
53;Aitvaras;PADAUŽIUKAI;64205113506;Taip;0;2;0;2
54;Aitvaras;PADAUŽIUKAI;1315081684;Taip;0;4;0;4
55;Aitvaras;PADAUŽIUKAI;25117529505;Taip;0;3;0;3
56;Aitvaras;PADAUŽIUKAI;403821197;Taip;0;10;0;10
57;Aitvaras;"AITVARIUKAI (ALERG.)";1542575012;Taip;5;1;0;6
58;Aitvaras;"AITVARIUKAI (ALERG.)";1223627682;Taip;0;4;0;4
59;Aitvaras;"AITVARIUKAI (ALERG.)";3471031093;Taip;0;4;0;4
60;Aitvaras;"AITVARIUKAI (ALERG.)";9810370596;Taip;5;2;1;8
