Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";1795308718;Taip;8;1;0;9
2;Aitvaras;"VIJURKAI (ALERG.)";9649742132;Taip;0;10;0;10
3;Aitvaras;"VIJURKAI (ALERG.)";84922258988;Taip;5;3;0;8
4;Aitvaras;"VIJURKAI (ALERG.)";1201862001;Ne;16;0;0;16
5;Aitvaras;"VIJURKAI (ALERG.)";8970519668;Ne;0;6;0;6
6;Aitvaras;"VIJURKAI (ALERG.)";1600657305;Taip;1;0;1;2
7;Aitvaras;"VIJURKAI (ALERG.)";1621302802;Taip;0;14;0;14
8;Aitvaras;"VIJURKAI (ALERG.)";94080483856;Taip;0;1;0;1
9;Aitvaras;"VIJURKAI (ALERG.)";5083382326;Taip;0;2;0;2
10;Aitvaras;"VIJURKAI (ALERG.)";1834535594;Taip;0;1;0;1
11;Aitvaras;"VIJURKAI (ALERG.)";7083046536;Taip;0;1;0;1
12;Aitvaras;"VIJURKAI (ALERG.)";1773366241;Taip;0;2;0;2
13;Aitvaras;"VIJURKAI (ALERG.)";1553462849;Ne;10;1;0;11
14;Aitvaras;"VIJURKAI (ALERG.)";1398792964;Taip;0;1;0;1
15;Aitvaras;"VIJURKAI (ALERG.)";5770779699;Taip;0;1;0;1
16;Aitvaras;"VIJURKAI (ALERG.)";2159901439;Taip;5;6;0;11
17;Aitvaras;"VIJURKAI (ALERG.)";3716313515;Taip;0;1;0;1
18;Aitvaras;"VIJURKAI (ALERG.)";8366627546;Taip;0;8;0;8
19;Aitvaras;"VIJURKAI (ALERG.)";1481849611;Taip;5;1;2;8
20;Aitvaras;"VIJURKAI (ALERG.)";1090979323;Taip;5;2;1;8
21;Aitvaras;"SMALSUČIAI (ALERG.)";85826303673;Ne;15;0;0;15
22;Aitvaras;"SMALSUČIAI (ALERG.)";7592535089;Taip;1;1;0;2
23;Aitvaras;"SMALSUČIAI (ALERG.)";9845539641;Taip;5;4;0;9
24;Aitvaras;"SMALSUČIAI (ALERG.)";44139920757;Ne;0;2;0;2
25;Aitvaras;"SMALSUČIAI (ALERG.)";3001619281;Taip;0;3;0;3
26;Aitvaras;"SMALSUČIAI (ALERG.)";4708741626;Taip;0;2;0;2
27;Aitvaras;"SMALSUČIAI (ALERG.)";1301667420;Taip;0;4;0;4
28;Aitvaras;"SMALSUČIAI (ALERG.)";47686798724;Taip;0;3;2;5
29;Aitvaras;"SMALSUČIAI (ALERG.)";1892295973;Ne;3;3;0;6
30;Aitvaras;"SMALSUČIAI (ALERG.)";89623351867;Taip;0;1;0;1
31;Aitvaras;"SMALSUČIAI (ALERG.)";5204534227;Taip;0;1;0;1
32;Aitvaras;"SMALSUČIAI (ALERG.)";2674192321;Taip;0;1;0;1
33;Aitvaras;"SMALSUČIAI (ALERG.)";37391225613;Taip;0;8;0;8
