Nr.;"Vaiko identifikacinis Nr.";"Vaiko gimimo data";"Prašymo pateikimo data";"Vaiko priėmimo į grupę data";"Priskirtas į įstaigą";"Registruotas mieste";"Atitinka priskirta teritorija";"Vaiko seniūnija";"Sutartis pasirašyta";"Grupės pavadinimas";"Grupės ugdomoji kalba";"Grupės ugdymo metodika";"Grupės tipas";"Grupės amžiaus intervalas";"Darželio pavadinimas";"Darželio seniūnija";"Iš eilės/be eilės";"Laukia eilėje, laukia pakeisti darželį"
1;8043062737;;;2015-09-01;2015-08-18;Taip;Taip;Pašilaičių;Taip;PADAUŽIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
2;3655710511;;;2015-11-12;2015-06-01;Taip;Taip;Pašilaičių;Taip;"SMALSUČIAI (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 6 iki 7 metų";2009-2009;Aitvaras;Pašilaičių;"be eilės";Ne
3;1376605323;;;2016-09-01;2016-05-11;Taip;Taip;Pašilaičių;Taip;PADAUŽIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
4;6060880045;;;2016-09-01;2016-05-11;Taip;Taip;Pašilaičių;Taip;PADAUŽIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
5;3639102842;;;2016-09-01;2016-05-28;Taip;Taip;Pašilaičių;Taip;"SMALSUČIAI (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 6 iki 7 metų";2009-2009;Aitvaras;Pašilaičių;"be eilės";Ne
6;8512502118;;;2016-09-01;2016-05-28;Taip;Taip;Pašilaičių;Taip;PADAUŽIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
7;3104109370;;;2016-09-01;2016-05-30;Taip;Taip;Pašilaičių;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
8;7243387750;;;2016-09-01;2016-05-31;Taip;Taip;Pašilaičių;Taip;"SMALSUČIAI (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 6 iki 7 metų";2009-2009;Aitvaras;Pašilaičių;"be eilės";Ne
9;3053557807;;;2016-09-01;2016-05-31;Taip;Taip;Pašilaičių;Taip;PADAUŽIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
10;6587437949;;;2016-09-01;2016-05-31;Taip;Taip;Pašilaičių;Taip;"SMALSUČIAI (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 6 iki 7 metų";2009-2009;Aitvaras;Pašilaičių;"be eilės";Ne
11;7560642918;;;2016-09-01;2016-05-31;Taip;Taip;Pašilaičių;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
12;4733627644;;;2016-09-01;2016-05-31;Taip;Ne;"Naujosios Vilnios";Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
13;9228736015;;;2016-09-01;2016-05-31;Taip;Taip;Pašilaičių;Taip;"SMALSUČIAI (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 6 iki 7 metų";2009-2009;Aitvaras;Pašilaičių;"be eilės";Ne
14;9763502346;;;2016-09-01;2016-05-31;Taip;Ne;Pilaitės;Taip;"SMALSUČIAI (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 6 iki 7 metų";2009-2009;Aitvaras;Pašilaičių;"be eilės";Ne
15;4564723798;;;2016-09-01;2016-05-31;Taip;Taip;Pašilaičių;Taip;"SMALSUČIAI (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 6 iki 7 metų";2009-2009;Aitvaras;Pašilaičių;"be eilės";Ne
16;4612994715;;;2016-09-01;2016-05-31;Taip;Taip;Pašilaičių;Taip;"SMALSUČIAI (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 6 iki 7 metų";2009-2009;Aitvaras;Pašilaičių;"be eilės";Ne
17;3820930777;;;2016-09-01;2016-06-02;Taip;Taip;Pašilaičių;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
18;4204923580;;;2016-09-01;2016-06-02;Taip;Ne;Viršuliškių;Taip;"SMALSUČIAI (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 6 iki 7 metų";2009-2009;Aitvaras;Pašilaičių;"be eilės";Ne
19;8567255042;;;2016-09-01;2016-06-02;Taip;Ne;Lazdynų;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
20;3005447572;;;2016-10-10;2016-09-22;Taip;Taip;Pašilaičių;Taip;PADAUŽIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
21;1859647003;;;2016-10-03;2016-09-23;Taip;Ne;Vilkpėdės;Taip;"SMALSUČIAI (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 6 iki 7 metų";2009-2009;Aitvaras;Pašilaičių;"be eilės";Ne
22;4555281655;;;2017-01-16;2017-01-09;Ne;Ne;-;Taip;PADAUŽIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
23;4551774368;;;2017-09-01;2017-05-11;Taip;Taip;Pašilaičių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
24;8558414510;;;2017-09-01;2017-05-11;Taip;Taip;Pašilaičių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
25;4158520145;;;2017-09-01;2017-05-12;Taip;Ne;Šeškinės;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
26;1203732956;;;2017-09-01;2017-05-18;Taip;Ne;Verkių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
27;1495399113;;;2017-09-01;2017-05-18;Taip;Taip;Pašilaičių;Taip;KODĖLČIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
28;6319953077;;;2017-11-27;2017-05-23;Taip;Taip;Pašilaičių;Taip;"SVAJOKLIAI  (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
29;8644983502;;;2017-09-01;2017-05-23;Taip;Ne;Justiniškių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
30;5782609781;;;2017-09-01;2017-05-23;Taip;Taip;Pašilaičių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
31;7805819121;;;2017-09-01;2017-05-24;Taip;Taip;Pašilaičių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
32;1136438927;;;2017-09-01;2017-05-24;Taip;Taip;Pašilaičių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
33;7352233454;;;2017-09-01;2017-05-25;Taip;Taip;Pašilaičių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
34;9534206000;;;2017-09-01;2017-05-25;Taip;Taip;Pašilaičių;Taip;"SMALSUČIAI (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 6 iki 7 metų";2009-2009;Aitvaras;Pašilaičių;"be eilės";Ne
35;9659883026;;;2017-09-01;2017-05-25;Taip;Ne;Fabijoniškių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
36;8849563638;;;2017-09-01;2017-05-29;Taip;Taip;Pašilaičių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
37;1019103539;;;2017-09-01;2017-05-29;Taip;Taip;Pašilaičių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
38;5161069611;;;2017-09-01;2017-05-29;Taip;Taip;Pašilaičių;Taip;PADAUŽIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
39;4812423010;;;2017-09-01;2017-05-29;Taip;Taip;Pašilaičių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
40;8756012613;;;2017-09-01;2017-05-29;Taip;Taip;Pašilaičių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
41;1901118931;;;2017-09-01;2017-05-29;Taip;Taip;Pašilaičių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
42;2146963673;;;2017-09-01;2016-06-01;Taip;Ne;Verkių;Taip;"SMALSUČIAI (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 6 iki 7 metų";2009-2009;Aitvaras;Pašilaičių;"be eilės";Ne
43;4646876966;;;2017-09-01;2017-05-29;Taip;Taip;Pašilaičių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
44;8137900398;;;2017-09-01;2017-05-29;Taip;Taip;Pašilaičių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
45;3394251305;;;2017-09-01;2017-05-29;Taip;Taip;Pašilaičių;Taip;"SMALSUČIAI (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 6 iki 7 metų";2009-2009;Aitvaras;Pašilaičių;"be eilės";Ne
46;2511844613;;;2017-09-01;2017-05-29;Taip;Ne;Verkių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
47;9147954612;;;2017-09-01;2017-05-29;Taip;Ne;Fabijoniškių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
48;2478737835;;;2017-09-01;2017-05-30;Taip;Taip;Pašilaičių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
49;7907357058;;;2017-09-01;2017-05-30;Taip;Ne;Fabijoniškių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
50;2184231202;;;2017-09-01;2017-05-30;Ne;Ne;-;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
51;2185746898;;;2017-09-01;2017-05-30;Taip;Taip;Pašilaičių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
52;1549552392;;;2017-09-01;2017-05-30;Taip;Taip;Pašilaičių;Taip;PADAUŽIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
53;5659897032;;;2017-09-01;2017-05-30;Taip;Taip;Pašilaičių;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
54;5601517340;;;2017-09-01;2017-05-31;Taip;Taip;Pašilaičių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
55;9271534775;;;2017-11-06;2017-05-31;Taip;Ne;"Naujosios Vilnios";Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
56;7934344218;;;2017-09-01;2017-05-31;Taip;Taip;Pašilaičių;"Sutartis nepasirašyta";PADAUŽIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
57;3954840915;;;2017-09-01;2017-07-07;Taip;Ne;Pilaitės;Taip;"SMALSUČIAI (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 6 iki 7 metų";2009-2009;Aitvaras;Pašilaičių;"be eilės";Ne
58;4498792867;;;2017-09-01;2017-07-07;Taip;Taip;Pašilaičių;Taip;PADAUŽIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
59;1498630458;;;2017-09-01;2017-07-07;Taip;Taip;Pašilaičių;Taip;PADAUŽIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
60;7853714142;;;2017-09-01;2017-07-07;Taip;Taip;Pašilaičių;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
61;1949144346;;;2017-09-01;2017-07-10;Taip;Taip;Pašilaičių;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
62;2615576367;;;2017-09-01;2017-07-10;Taip;Ne;Karoliniškių;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
63;3737054758;;;2017-09-01;2017-05-30;Taip;Ne;Justiniškių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
64;3429046261;;;2017-09-01;2017-07-12;Ne;Ne;-;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
65;5967188507;;;2017-09-01;2017-07-25;Ne;Ne;-;Taip;PADAUŽIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
66;6279152796;;;2017-09-01;2017-05-30;Taip;Taip;Pašilaičių;Taip;PADAUŽIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
67;5711324951;;;2017-11-06;2016-07-14;Taip;Taip;Pašilaičių;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
68;9947610763;;;2018-01-15;2017-12-08;Taip;Ne;Antakalnio;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
69;4801034095;;;2018-02-01;2017-12-29;Taip;Taip;Pašilaičių;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
70;3961423273;;;2018-03-12;2018-01-11;Taip;Taip;Pašilaičių;Taip;"ŽEMYNUKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
71;7113016866;;;2018-01-15;2017-10-20;Taip;Ne;Justiniškių;Taip;"ŽEMYNUKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
72;5283056036;;;2018-01-17;2018-01-11;Taip;Taip;Pašilaičių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
73;8333823078;;;2018-02-01;2018-01-11;Taip;Taip;Pašilaičių;Taip;"ŽEMYNUKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
74;4377666052;;;2018-02-12;2018-01-11;Taip;Taip;Pašilaičių;Taip;"ŽEMYNUKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
75;5252728205;;;2018-09-01;2018-01-11;Taip;Taip;Pašilaičių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
76;2547934790;;;2018-03-12;2018-02-01;Taip;Taip;Pašilaičių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
77;6459307767;;;2018-02-12;2018-02-01;Taip;Taip;Pašilaičių;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
78;6286268740;;;2018-02-06;2018-02-01;Taip;Taip;Pašilaičių;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
79;5623106419;;;2018-06-01;2018-06-01;Taip;Taip;Pašilaičių;Taip;"ŽEMYNUKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
80;4163871634;;;2018-09-01;2018-04-14;Taip;Taip;Pašilaičių;Taip;KODĖLČIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
81;3988226974;;;2018-09-01;2018-04-14;Taip;Taip;Pašilaičių;Taip;KODĖLČIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
82;2373509019;;;2018-09-01;2018-04-19;Taip;Taip;Pašilaičių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
83;7136674662;;;2018-09-01;2018-09-01;Taip;Taip;Pašilaičių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
84;1070324386;;;2018-09-01;2018-04-20;Taip;Taip;Pašilaičių;Taip;KODĖLČIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
85;4613021421;;;2018-09-01;2018-04-20;Taip;Taip;Pašilaičių;Taip;KODĖLČIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
86;2239387580;;;2018-09-01;2018-04-20;Taip;Taip;Pašilaičių;Taip;KODĖLČIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
87;2887681961;;;2018-09-01;2018-04-20;Taip;Taip;Pašilaičių;Taip;KODĖLČIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
88;1131690624;;;2018-09-01;2018-04-20;Taip;Taip;Pašilaičių;Taip;"SVAJOKLIAI  (ALERG.)";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
89;8746884740;;;2018-09-17;2018-04-20;Taip;Taip;Pašilaičių;Taip;KODĖLČIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
90;8770777328;;;2018-09-01;2017-09-14;Taip;Taip;Pašilaičių;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
91;3653879553;;;2018-09-01;2018-04-20;Taip;Taip;Pašilaičių;Taip;"ŽEMYNUKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
92;5635576679;;;2018-09-01;2018-04-20;Taip;Taip;Pašilaičių;Taip;"ŽEMYNUKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
93;7889947603;;;2018-09-13;2018-04-20;Taip;Taip;Pašilaičių;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
94;8543644000;;;2018-09-01;2018-04-20;Taip;Ne;Šeškinės;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
95;5351333397;;;2018-09-01;2018-04-20;Taip;Taip;Pašilaičių;Taip;"ŽEMYNUKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
96;2624566766;;;2018-09-03;2018-04-20;Taip;Ne;Fabijoniškių;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
97;2744696131;;;2018-09-01;2018-04-20;Taip;Ne;Pilaitės;Taip;"SAULĖS ZUIKUČIAI  (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 6 metų";2010-2011;Aitvaras;Pašilaičių;"be eilės";Ne
98;7988247429;;;2018-09-01;2018-04-20;Taip;Ne;Pilaitės;Taip;"ŽEMYNUKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
99;2065988478;;;2018-09-01;2018-04-20;Taip;Ne;Verkių;Taip;"VIJURKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 5 iki 7 metų";2009-2010;Aitvaras;Pašilaičių;"be eilės";Ne
100;3851322849;;;2018-09-01;2017-08-17;Taip;Ne;Žirmūnų;Taip;"ŽEMYNUKAI (ALERG.)";Lietuvių;"Alergiškų vaikų grupė";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
101;7922937851;;;2018-09-01;2018-04-20;Taip;Taip;Pašilaičių;Taip;KODĖLČIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
102;4085134058;;;2018-09-01;2018-09-01;Taip;Taip;Pašilaičių;Taip;KODĖLČIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
103;5684526288;;;2018-09-01;2018-04-21;Taip;Taip;Pašilaičių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
104;9725401255;;;2018-09-01;2018-04-21;Taip;Ne;Verkių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
105;7764574135;;;2018-09-01;2018-04-21;Taip;Taip;Pašilaičių;Taip;ŠELMIAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 5 iki 6 metų";2010-2010;Aitvaras;Pašilaičių;"be eilės";Ne
106;3749008647;;;2018-09-01;2018-04-24;Taip;Ne;Verkių;Taip;KODĖLČIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Aitvaras;Pašilaičių;"be eilės";Ne
