Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";1795308718;Taip;3;0;1;4
2;Aitvaras;"VIJURKAI (ALERG.)";9649742132;Taip;0;10;0;10
3;Aitvaras;"VIJURKAI (ALERG.)";84922258988;Taip;9;6;0;15
4;Aitvaras;"VIJURKAI (ALERG.)";1201862001;Ne;18;0;0;18
5;Aitvaras;"VIJURKAI (ALERG.)";8970519668;Ne;11;3;0;14
6;Aitvaras;"VIJURKAI (ALERG.)";1621302802;Taip;0;14;0;14
7;Aitvaras;"VIJURKAI (ALERG.)";94080483856;Taip;6;6;0;12
8;Aitvaras;"VIJURKAI (ALERG.)";5083382326;Taip;0;2;0;2
9;Aitvaras;"VIJURKAI (ALERG.)";1834535594;Taip;5;0;0;5
10;Aitvaras;"VIJURKAI (ALERG.)";7083046536;Taip;5;0;0;5
11;Aitvaras;"VIJURKAI (ALERG.)";1773366241;Taip;8;0;0;8
12;Aitvaras;"VIJURKAI (ALERG.)";1553462849;Ne;0;4;0;4
13;Aitvaras;"VIJURKAI (ALERG.)";1398792964;Taip;0;11;0;11
14;Aitvaras;"VIJURKAI (ALERG.)";5770779699;Taip;4;1;0;5
15;Aitvaras;"VIJURKAI (ALERG.)";2159901439;Taip;0;4;0;4
16;Aitvaras;"VIJURKAI (ALERG.)";3716313515;Taip;0;4;0;4
17;Aitvaras;"VIJURKAI (ALERG.)";8366627546;Taip;9;9;0;18
18;Aitvaras;"VIJURKAI (ALERG.)";1481849611;Taip;0;5;2;7
19;Aitvaras;"VIJURKAI (ALERG.)";1090979323;Taip;0;0;1;1
20;Aitvaras;"SMALSUČIAI (ALERG.)";85826303673;Ne;3;0;0;3
21;Aitvaras;"SMALSUČIAI (ALERG.)";7592535089;Taip;9;4;0;13
22;Aitvaras;"SMALSUČIAI (ALERG.)";9845539641;Ne;0;10;0;10
23;Aitvaras;"SMALSUČIAI (ALERG.)";44139920757;Ne;0;4;0;4
24;Aitvaras;"SMALSUČIAI (ALERG.)";3001619281;Taip;8;8;0;16
25;Aitvaras;"SMALSUČIAI (ALERG.)";4708741626;Taip;0;6;0;6
26;Aitvaras;"SMALSUČIAI (ALERG.)";1301667420;Taip;0;15;0;15
27;Aitvaras;"SMALSUČIAI (ALERG.)";47686798724;Taip;0;6;0;6
28;Aitvaras;"SMALSUČIAI (ALERG.)";1892295973;Ne;0;6;0;6
29;Aitvaras;"SMALSUČIAI (ALERG.)";89623351867;Taip;0;5;0;5
30;Aitvaras;"SMALSUČIAI (ALERG.)";5204534227;Taip;0;5;0;5
31;Aitvaras;"SMALSUČIAI (ALERG.)";2674192321;Taip;0;8;4;12
32;Aitvaras;"SMALSUČIAI (ALERG.)";37391225613;Taip;0;7;0;7
33;Aitvaras;"SMALSUČIAI (ALERG.)";36359228257;Taip;7;4;0;11
34;Aitvaras;"SMALSUČIAI (ALERG.)";31074942686;Taip;0;9;0;9
35;Aitvaras;"SMALSUČIAI (ALERG.)";13670186807;Taip;19;0;1;20
36;Aitvaras;"SMALSUČIAI (ALERG.)";76280361479;Taip;0;4;0;4
37;Aitvaras;"SMALSUČIAI (ALERG.)";85103026654;Taip;0;3;0;3
38;Aitvaras;"SMALSUČIAI (ALERG.)";12962784212;Ne;0;7;0;7
39;Aitvaras;"SMALSUČIAI (ALERG.)";14251469975;Taip;9;4;0;13
40;Aitvaras;PADAUŽIUKAI;75662895254;Taip;0;9;0;9
41;Aitvaras;PADAUŽIUKAI;46998364516;Taip;0;5;0;5
42;Aitvaras;PADAUŽIUKAI;1355296093;Taip;5;4;1;10
43;Aitvaras;PADAUŽIUKAI;54438500410;Taip;0;1;0;1
44;Aitvaras;PADAUŽIUKAI;1476238636;Taip;0;2;0;2
45;Aitvaras;PADAUŽIUKAI;1641140396;Ne;5;5;0;10
46;Aitvaras;PADAUŽIUKAI;2136550853;Ne;0;11;2;13
47;Aitvaras;PADAUŽIUKAI;64683090780;Ne;0;6;7;13
48;Aitvaras;PADAUŽIUKAI;87846069433;Taip;0;6;1;7
49;Aitvaras;PADAUŽIUKAI;30517554931;Taip;10;4;0;14
50;Aitvaras;PADAUŽIUKAI;1850900990;Taip;0;5;0;5
51;Aitvaras;PADAUŽIUKAI;69145890005;Taip;0;1;0;1
52;Aitvaras;PADAUŽIUKAI;89194677727;Taip;4;4;4;12
53;Aitvaras;PADAUŽIUKAI;45833790181;Taip;1;4;0;5
54;Aitvaras;PADAUŽIUKAI;1371102633;Taip;8;6;0;14
55;Aitvaras;PADAUŽIUKAI;24017694836;Taip;5;4;0;9
56;Aitvaras;PADAUŽIUKAI;2092431875;Taip;0;4;0;4
57;Aitvaras;PADAUŽIUKAI;12216502128;Taip;0;2;0;2
58;Aitvaras;PADAUŽIUKAI;64205113506;Taip;0;6;2;8
59;Aitvaras;PADAUŽIUKAI;1315081684;Taip;0;4;1;5
60;Aitvaras;PADAUŽIUKAI;25117529505;Taip;0;5;0;5
61;Aitvaras;PADAUŽIUKAI;403821197;Taip;0;4;0;4
62;Aitvaras;"AITVARIUKAI (ALERG.)";1542575012;Taip;4;2;1;7
63;Aitvaras;"AITVARIUKAI (ALERG.)";1223627682;Taip;0;6;0;6
64;Aitvaras;"AITVARIUKAI (ALERG.)";3471031093;Taip;9;0;0;9
65;Aitvaras;"AITVARIUKAI (ALERG.)";9810370596;Taip;3;8;0;11
66;Aitvaras;"AITVARIUKAI (ALERG.)";34735287315;Taip;7;4;0;11
67;Aitvaras;"AITVARIUKAI (ALERG.)";4833313373;Taip;8;0;0;8
68;Aitvaras;"AITVARIUKAI (ALERG.)";84919478493;Taip;5;0;0;5
69;Aitvaras;"AITVARIUKAI (ALERG.)";9745864667;Taip;4;5;0;9
70;Aitvaras;"AITVARIUKAI (ALERG.)";5389627560;Taip;7;0;0;7
71;Aitvaras;"AITVARIUKAI (ALERG.)";5956333024;Taip;0;5;0;5
72;Aitvaras;"AITVARIUKAI (ALERG.)";1636794584;Taip;11;2;0;13
73;Aitvaras;"AITVARIUKAI (ALERG.)";2953536545;Taip;2;4;0;6
74;Aitvaras;"AITVARIUKAI (ALERG.)";3535659630;Taip;0;3;0;3
75;Aitvaras;"AITVARIUKAI (ALERG.)";3488467265;Taip;3;4;0;7
76;Aitvaras;"AITVARIUKAI (ALERG.)";2566375128;Taip;0;3;0;3
77;Aitvaras;"AITVARIUKAI (ALERG.)";6356432078;Taip;0;4;0;4
78;Aitvaras;"AITVARIUKAI (ALERG.)";3639102842;Taip;0;6;0;6
79;Aitvaras;"AITVARIUKAI (ALERG.)";7243387750;Taip;14;3;0;17
80;Aitvaras;"AITVARIUKAI (ALERG.)";6587437949;Taip;2;9;0;11
81;Aitvaras;"AITVARIUKAI (ALERG.)";7461284958;Taip;5;4;0;9
82;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";1019661577;Taip;0;2;0;2
83;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";55369747065;Ne;9;2;0;11
84;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";837021325;Taip;5;3;0;8
85;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";1207249857;Taip;0;6;5;11
86;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";30174058452;Taip;0;3;0;3
87;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";24247118884;Taip;3;5;0;8
88;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";1516018865;Taip;0;14;0;14
89;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";1392528718;Taip;0;4;0;4
90;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2021772475;Ne;5;0;0;5
91;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";1872130301;Taip;2;4;0;6
92;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";6745376381;Taip;5;1;0;6
93;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";3433178644;Ne;2;4;0;6
