Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";8610723991;Taip;0;1;0;1
2;Aitvaras;"VIJURKAI (ALERG.)";82386048619;Taip;21;0;0;21
3;Aitvaras;"VIJURKAI (ALERG.)";86008218554;Taip;1;6;0;7
4;Aitvaras;"VIJURKAI (ALERG.)";44900473149;Taip;0;1;0;1
5;Aitvaras;"VIJURKAI (ALERG.)";9065712699;Taip;0;9;0;9
6;Aitvaras;"VIJURKAI (ALERG.)";63345306760;Taip;12;0;0;12
7;Aitvaras;"VIJURKAI (ALERG.)";84623684490;Taip;0;1;0;1
8;Aitvaras;"VIJURKAI (ALERG.)";16402806518;Taip;5;0;1;6
9;Aitvaras;"VIJURKAI (ALERG.)";74266054705;Taip;5;0;0;5
10;Aitvaras;"VIJURKAI (ALERG.)";40455080945;Taip;0;7;0;7
11;Aitvaras;"VIJURKAI (ALERG.)";1156348512;Taip;0;2;0;2
12;Aitvaras;"VIJURKAI (ALERG.)";3724722474;Taip;0;2;0;2
13;Aitvaras;"VIJURKAI (ALERG.)";33729670803;Taip;3;0;1;4
14;Aitvaras;"SMALSUČIAI (ALERG.)";1396233353;Taip;0;6;0;6
15;Aitvaras;"SMALSUČIAI (ALERG.)";28583194438;Taip;13;0;0;13
16;Aitvaras;"SMALSUČIAI (ALERG.)";1286577536;Taip;9;0;0;9
17;Aitvaras;"SMALSUČIAI (ALERG.)";63572158244;Taip;0;2;0;2
18;Aitvaras;"SMALSUČIAI (ALERG.)";2259914595;Taip;0;6;0;6
19;Aitvaras;"SMALSUČIAI (ALERG.)";33421843741;Taip;5;0;0;5
20;Aitvaras;"SMALSUČIAI (ALERG.)";56144623807;Taip;0;1;0;1
21;Aitvaras;"SMALSUČIAI (ALERG.)";35714998920;Taip;0;1;0;1
22;Aitvaras;"SMALSUČIAI (ALERG.)";35989222658;Taip;0;1;0;1
23;Aitvaras;"SMALSUČIAI (ALERG.)";38025877986;Taip;6;2;0;8
24;Aitvaras;"SMALSUČIAI (ALERG.)";64844875547;Taip;5;0;0;5
25;Aitvaras;"SMALSUČIAI (ALERG.)";909566870;Taip;5;1;0;6
26;Aitvaras;"SMALSUČIAI (ALERG.)";91112093978;Taip;5;1;0;6
27;Aitvaras;PADAUŽIUKAI;891634233;Taip;12;5;0;17
28;Aitvaras;PADAUŽIUKAI;37239090522;Taip;3;0;0;3
29;Aitvaras;PADAUŽIUKAI;51360850840;Taip;8;2;5;15
30;Aitvaras;PADAUŽIUKAI;8487865580;Taip;6;1;2;9
31;Aitvaras;PADAUŽIUKAI;56549255312;Taip;0;2;1;3
32;Aitvaras;PADAUŽIUKAI;83870816281;Taip;0;2;0;2
33;Aitvaras;PADAUŽIUKAI;98187921839;Taip;0;0;1;1
34;Aitvaras;PADAUŽIUKAI;76493460153;Taip;0;7;0;7
35;Aitvaras;PADAUŽIUKAI;2910005555;Taip;0;2;0;2
36;Aitvaras;PADAUŽIUKAI;18037655336;Taip;5;2;0;7
37;Aitvaras;PADAUŽIUKAI;7240754055;Taip;0;2;0;2
38;Aitvaras;PADAUŽIUKAI;44035041676;Taip;0;2;0;2
39;Aitvaras;PADAUŽIUKAI;80728374682;Taip;0;0;2;2
40;Aitvaras;PADAUŽIUKAI;81647038853;Taip;0;0;1;1
41;Aitvaras;PADAUŽIUKAI;57489495125;Taip;0;1;0;1
42;Aitvaras;PADAUŽIUKAI;86739069318;Taip;0;13;0;13
43;Aitvaras;PADAUŽIUKAI;33594031405;Taip;0;0;3;3
44;Aitvaras;"AITVARIUKAI (ALERG.)";37391225613;Taip;3;4;0;7
45;Aitvaras;"AITVARIUKAI (ALERG.)";85103026654;Taip;0;2;0;2
46;Aitvaras;"AITVARIUKAI (ALERG.)";76280361479;Taip;0;2;0;2
47;Aitvaras;"AITVARIUKAI (ALERG.)";36359228257;Taip;0;1;0;1
48;Aitvaras;"AITVARIUKAI (ALERG.)";13670186807;Taip;21;0;0;21
49;Aitvaras;"AITVARIUKAI (ALERG.)";31074942686;Taip;0;5;0;5
50;Aitvaras;"AITVARIUKAI (ALERG.)";12962784212;Ne;0;7;0;7
