Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;"Du gaideliai";OŽIUKŲ;9766830322;Ne;0;1;0;1
2;"Du gaideliai";OŽIUKŲ;8787257136;Taip;0;7;0;7
3;"Du gaideliai";OŽIUKŲ;3618434331;Taip;0;5;0;5
4;"Du gaideliai";OŽIUKŲ;9635722547;Taip;0;1;0;1
5;"Du gaideliai";OŽIUKŲ;9611718753;Taip;0;1;0;1
6;"Du gaideliai";OŽIUKŲ;5590486082;Taip;0;1;0;1
7;"Du gaideliai";OŽIUKŲ;2459845438;Ne;0;1;0;1
8;"Du gaideliai";OŽIUKŲ;2334772897;Taip;0;1;0;1
9;"Du gaideliai";OŽIUKŲ;3006638233;Taip;0;1;0;1
10;"Du gaideliai";OŽIUKŲ;8669517268;Taip;0;4;0;4
11;"Du gaideliai";OŽIUKŲ;6505014154;Taip;0;1;0;1
12;"Du gaideliai";OŽIUKŲ;3583972926;Taip;0;1;0;1
13;"Du gaideliai";OŽIUKŲ;6189006893;Taip;0;2;0;2
14;"Du gaideliai";OŽIUKŲ;3714718508;Taip;0;1;0;1
15;"Du gaideliai";OŽIUKŲ;7519467302;Taip;0;5;0;5
16;"Du gaideliai";OŽIUKŲ;8867100871;Taip;0;1;0;1
17;Jurginėlis;Ąžuoliukai;1081745918;Taip;0;0;1;1
18;Jurginėlis;Ąžuoliukai;3851552176;Taip;0;1;0;1
19;Jurginėlis;Ąžuoliukai;2135521370;Taip;0;0;2;2
20;Jurginėlis;Ąžuoliukai;9440405757;Taip;0;1;0;1
21;Jurginėlis;Ąžuoliukai;4231671848;Taip;0;0;1;1
22;Jurginėlis;Ąžuoliukai;7881722084;Taip;0;1;0;1
23;Jurginėlis;Ąžuoliukai;3093416029;Taip;0;0;2;2
24;Jurginėlis;Ąžuoliukai;1345054839;Taip;0;1;0;1
25;Jurginėlis;Ąžuoliukai;5901777020;Taip;0;4;0;4
26;Jurginėlis;Ąžuoliukai;9284459630;Taip;0;1;0;1
27;Jurginėlis;Ąžuoliukai;3864320788;Taip;0;1;0;1
28;Jurginėlis;Ąžuoliukai;7526340810;Taip;0;1;0;1
29;Jurginėlis;Ąžuoliukai;6038924844;Taip;0;1;0;1
30;Jurginėlis;Ąžuoliukai;8919273425;Taip;0;0;5;5
31;Jurginėlis;Ąžuoliukai;5484636482;Taip;0;1;0;1
32;Jurginėlis;Ąžuoliukai;7088216589;Taip;0;0;1;1
33;Jurginėlis;Ąžuoliukai;8909534316;Taip;0;0;2;2
34;Jurginėlis;Ąžuoliukai;1455803604;Taip;0;0;1;1
35;Jurginėlis;Žiogeliai;3781268586;Taip;0;1;0;1
36;Jurginėlis;Žiogeliai;6376806996;Taip;0;6;0;6
37;Jurginėlis;Žiogeliai;2987863251;Taip;0;7;0;7
38;Jurginėlis;Žiogeliai;9445891212;Taip;0;1;0;1
39;Jurginėlis;Žiogeliai;6459233131;Taip;0;1;0;1
40;Jurginėlis;Žiogeliai;9907209334;Taip;0;6;0;6
41;Jurginėlis;Žiogeliai;4251121114;Taip;0;1;0;1
42;Jurginėlis;Žiogeliai;5594950438;Taip;0;9;0;9
43;Jurginėlis;Žiogeliai;5852648259;Taip;0;3;0;3
44;Jurginėlis;Žiogeliai;2112234910;Taip;0;9;0;9
45;Jurginėlis;Žiogeliai;1005414800;Taip;0;1;0;1
46;Jurginėlis;Žiogeliai;3140309334;Taip;0;6;0;6
47;Jurginėlis;Žiogeliai;1465124464;Taip;0;6;0;6
48;Jurginėlis;Žiogeliai;9483253110;Taip;0;6;0;6
49;Jurginėlis;Žiogeliai;3906314641;Taip;0;1;0;1
50;Jurginėlis;Žiogeliai;8158081963;Taip;0;6;0;6
51;Jurginėlis;Žiogeliai;5989119963;Taip;0;6;0;6
52;Jurginėlis;Žiogeliai;6602740611;Taip;0;1;0;1
53;Jurginėlis;Pelėdžiukų;9777769202;Taip;0;0;4;4
54;Jurginėlis;Pelėdžiukų;5902743854;Taip;0;0;6;6
55;Jurginėlis;Pelėdžiukų;9087559989;Taip;0;0;6;6
56;Jurginėlis;Pelėdžiukų;7930734609;Taip;0;0;1;1
57;Jurginėlis;Pelėdžiukų;9538407409;Taip;0;0;5;5
58;Jurginėlis;Pelėdžiukų;4819024305;Taip;0;0;1;1
59;Jurginėlis;Pelėdžiukų;8247753250;Taip;0;0;1;1
60;Jurginėlis;Pelėdžiukų;5827337798;Taip;0;0;3;3
61;Jurginėlis;Pelėdžiukų;5554491095;Taip;0;0;6;6
62;Jurginėlis;Pelėdžiukų;8576139318;Taip;0;0;8;8
63;Jurginėlis;Pelėdžiukų;6524017923;Taip;0;0;2;2
64;Jurginėlis;Pelėdžiukų;2988400510;Taip;0;0;1;1
65;Jurginėlis;Pelėdžiukų;7271714295;Taip;0;0;1;1
66;Jurginėlis;Pelėdžiukų;6963500970;Taip;0;0;1;1
67;Jurginėlis;Pelėdžiukų;3466518194;Taip;0;0;1;1
68;Jurginėlis;Pelėdžiukų;6054760734;Taip;0;0;1;1
69;Jurginėlis;Pelėdžiukų;1281467833;Taip;0;0;2;2
70;Jurginėlis;Pelėdžiukų;8334599886;Taip;0;0;1;1
71;Jurginėlis;Pelėdžiukų;3596793817;Taip;0;0;3;3
72;Jurginėlis;Pelėdžiukų;6257373022;Ne;0;0;8;8
73;Jurginėlis;Skruzdeliukų;8469317914;Taip;0;0;1;1
74;Jurginėlis;Skruzdeliukų;2547450623;Taip;0;0;3;3
75;Jurginėlis;Skruzdeliukų;3415416770;Taip;0;0;1;1
76;Jurginėlis;Skruzdeliukų;7161083050;Taip;0;0;1;1
77;Jurginėlis;Skruzdeliukų;6663142775;Taip;0;0;3;3
78;Jurginėlis;Skruzdeliukų;9073561327;Taip;0;0;1;1
79;Jurginėlis;Skruzdeliukų;3751871479;Taip;0;0;2;2
80;Jurginėlis;Skruzdeliukų;5185341972;Taip;0;0;1;1
81;Jurginėlis;Skruzdeliukų;6882840139;Taip;0;0;2;2
