Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";9649742132;Taip;0;12;0;12
2;Aitvaras;"VIJURKAI (ALERG.)";84922258988;Taip;3;4;0;7
3;Aitvaras;"VIJURKAI (ALERG.)";1201862001;Taip;0;2;1;3
4;Aitvaras;"VIJURKAI (ALERG.)";8970519668;Taip;0;7;0;7
5;Aitvaras;"VIJURKAI (ALERG.)";1600657305;Taip;1;2;0;3
6;Aitvaras;"VIJURKAI (ALERG.)";1621302802;Taip;9;5;0;14
7;Aitvaras;"VIJURKAI (ALERG.)";94080483856;Taip;0;2;0;2
8;Aitvaras;"VIJURKAI (ALERG.)";5083382326;Taip;1;0;0;1
9;Aitvaras;"VIJURKAI (ALERG.)";1773366241;Taip;1;5;0;6
10;Aitvaras;"VIJURKAI (ALERG.)";1553462849;Taip;0;7;0;7
11;Aitvaras;"VIJURKAI (ALERG.)";2159901439;Taip;1;4;0;5
12;Aitvaras;"VIJURKAI (ALERG.)";3716313515;Taip;0;2;0;2
13;Aitvaras;"VIJURKAI (ALERG.)";8366627546;Taip;0;2;0;2
14;Aitvaras;"VIJURKAI (ALERG.)";1481849611;Taip;0;2;5;7
15;Aitvaras;"VIJURKAI (ALERG.)";1090979323;Taip;0;1;0;1
16;Aitvaras;"VIJURKAI (ALERG.)";5595233402;Taip;5;0;1;6
17;Aitvaras;"VIJURKAI (ALERG.)";1652681820;Taip;3;1;0;4
18;Aitvaras;"SMALSUČIAI (ALERG.)";14251469975;Taip;5;0;1;6
19;Aitvaras;"SMALSUČIAI (ALERG.)";4868552034;Taip;0;0;2;2
20;Aitvaras;"SMALSUČIAI (ALERG.)";61721665912;Taip;0;0;2;2
21;Aitvaras;"SMALSUČIAI (ALERG.)";1516018865;Taip;0;5;0;5
22;Aitvaras;"SMALSUČIAI (ALERG.)";55369747065;Taip;15;0;0;15
23;Aitvaras;"SMALSUČIAI (ALERG.)";69352006024;Taip;0;7;0;7
24;Aitvaras;"SMALSUČIAI (ALERG.)";2083332491;Taip;0;2;0;2
25;Aitvaras;"SMALSUČIAI (ALERG.)";2021772475;Taip;0;1;0;1
26;Aitvaras;"SMALSUČIAI (ALERG.)";6238828251;Taip;0;2;0;2
27;Aitvaras;"SMALSUČIAI (ALERG.)";1872130301;Taip;4;12;2;18
