Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";6936031222;Ne;0;5;0;5
2;Aitvaras;"VIJURKAI (ALERG.)";6214880713;Ne;0;12;0;12
3;Aitvaras;"VIJURKAI (ALERG.)";2566375128;Ne;0;12;0;12
4;Aitvaras;"VIJURKAI (ALERG.)";1879540041;Ne;0;14;0;14
5;Aitvaras;"VIJURKAI (ALERG.)";1532588441;Ne;5;11;0;16
6;Aitvaras;"VIJURKAI (ALERG.)";8206046301;Ne;0;13;0;13
7;Aitvaras;"VIJURKAI (ALERG.)";1347364985;Ne;0;20;0;20
8;Aitvaras;"VIJURKAI (ALERG.)";9157794193;Ne;0;20;0;20
9;Aitvaras;"VIJURKAI (ALERG.)";9562494357;Ne;0;17;0;17
10;Aitvaras;"VIJURKAI (ALERG.)";6021342178;Ne;0;16;0;16
11;Aitvaras;"VIJURKAI (ALERG.)";2650483861;Ne;0;13;0;13
12;Aitvaras;"VIJURKAI (ALERG.)";2601983670;Ne;0;12;0;12
13;Aitvaras;"VIJURKAI (ALERG.)";2895663259;Ne;0;1;0;1
14;Aitvaras;"VIJURKAI (ALERG.)";3570820823;Ne;0;9;0;9
15;Aitvaras;"VIJURKAI (ALERG.)";6444377924;Ne;0;12;0;12
16;Aitvaras;"VIJURKAI (ALERG.)";4702400490;Ne;0;11;0;11
17;Aitvaras;"SMALSUČIAI (ALERG.)";4868552034;Ne;0;19;0;19
18;Aitvaras;"SMALSUČIAI (ALERG.)";6166757095;Ne;0;19;0;19
19;Aitvaras;"SMALSUČIAI (ALERG.)";4480921300;Ne;0;15;0;15
20;Aitvaras;"SMALSUČIAI (ALERG.)";1019661577;Ne;0;2;0;2
21;Aitvaras;"SMALSUČIAI (ALERG.)";5750154036;Ne;0;15;0;15
22;Aitvaras;"SMALSUČIAI (ALERG.)";6084096300;Ne;0;16;0;16
23;Aitvaras;"SMALSUČIAI (ALERG.)";5330618557;Ne;0;11;0;11
24;Aitvaras;"SMALSUČIAI (ALERG.)";9745864667;Ne;0;10;0;10
25;Aitvaras;"SMALSUČIAI (ALERG.)";9810370596;Ne;0;2;0;2
26;Aitvaras;"SMALSUČIAI (ALERG.)";1954364886;Ne;0;10;0;10
27;Aitvaras;"SMALSUČIAI (ALERG.)";3535659630;Ne;0;6;0;6
28;Aitvaras;"SMALSUČIAI (ALERG.)";4833313373;Ne;0;2;0;2
29;Aitvaras;"SMALSUČIAI (ALERG.)";24247118884;Ne;0;2;0;2
30;Aitvaras;"SMALSUČIAI (ALERG.)";5504431748;Ne;0;4;0;4
31;Aitvaras;"SMALSUČIAI (ALERG.)";5389627560;Ne;0;12;0;12
