Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";8970519668;Taip;0;18;0;18
2;Aitvaras;"VIJURKAI (ALERG.)";1600657305;Taip;0;6;0;6
3;Aitvaras;"VIJURKAI (ALERG.)";5083382326;Taip;0;19;0;19
4;Aitvaras;"VIJURKAI (ALERG.)";1834535594;Taip;0;5;0;5
5;Aitvaras;"VIJURKAI (ALERG.)";7083046536;Taip;0;5;0;5
6;Aitvaras;"VIJURKAI (ALERG.)";5770779699;Taip;0;9;0;9
7;Aitvaras;"VIJURKAI (ALERG.)";2159901439;Taip;0;1;0;1
8;Aitvaras;"VIJURKAI (ALERG.)";3716313515;Taip;0;22;0;22
9;Aitvaras;"VIJURKAI (ALERG.)";5595233402;Taip;0;10;0;10
10;Aitvaras;"VIJURKAI (ALERG.)";1652681820;Taip;0;22;0;22
11;Aitvaras;"VIJURKAI (ALERG.)";6951219468;Taip;0;6;0;6
12;Aitvaras;"SMALSUČIAI (ALERG.)";4868552034;Taip;0;22;0;22
13;Aitvaras;"SMALSUČIAI (ALERG.)";837021325;Taip;0;22;0;22
14;Aitvaras;"SMALSUČIAI (ALERG.)";1516018865;Taip;0;6;0;6
15;Aitvaras;"SMALSUČIAI (ALERG.)";55369747065;Taip;0;4;0;4
16;Aitvaras;"SMALSUČIAI (ALERG.)";69352006024;Taip;0;16;0;16
17;Aitvaras;"SMALSUČIAI (ALERG.)";2083332491;Taip;0;13;0;13
18;Aitvaras;"SMALSUČIAI (ALERG.)";2021772475;Taip;0;16;0;16
19;Aitvaras;"SMALSUČIAI (ALERG.)";6745376381;Taip;0;2;0;2
20;Aitvaras;"SMALSUČIAI (ALERG.)";6238828251;Taip;0;22;0;22
21;Aitvaras;"SMALSUČIAI (ALERG.)";3433178644;Taip;0;14;0;14
22;Aitvaras;"SMALSUČIAI (ALERG.)";1207249857;Taip;0;22;0;22
23;Aitvaras;"SMALSUČIAI (ALERG.)";3471031093;Taip;0;19;0;19
24;Aitvaras;"SMALSUČIAI (ALERG.)";3133031845;Taip;0;5;0;5
25;Aitvaras;"SMALSUČIAI (ALERG.)";6166757095;Taip;0;18;0;18
26;Aitvaras;"SMALSUČIAI (ALERG.)";4480921300;Taip;0;13;0;13
27;Aitvaras;"SMALSUČIAI (ALERG.)";1019661577;Taip;0;18;0;18
28;Aitvaras;PADAUŽIUKAI;5922357091;Taip;0;22;0;22
29;Aitvaras;PADAUŽIUKAI;1494094426;Taip;0;22;0;22
30;Aitvaras;PADAUŽIUKAI;6647800967;Taip;0;9;0;9
31;Aitvaras;PADAUŽIUKAI;40344230133;Taip;0;9;0;9
32;Aitvaras;PADAUŽIUKAI;54496602809;Taip;0;4;0;4
