Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";6936031222;Taip;9;0;0;9
2;Aitvaras;"VIJURKAI (ALERG.)";2566375128;Taip;0;2;0;2
3;Aitvaras;"VIJURKAI (ALERG.)";1879540041;Taip;0;5;0;5
4;Aitvaras;"VIJURKAI (ALERG.)";1532588441;Taip;7;6;0;13
5;Aitvaras;"VIJURKAI (ALERG.)";8206046301;Taip;7;0;1;8
6;Aitvaras;"VIJURKAI (ALERG.)";1347364985;Taip;8;0;0;8
7;Aitvaras;"VIJURKAI (ALERG.)";9157794193;Taip;11;3;0;14
8;Aitvaras;"VIJURKAI (ALERG.)";9562494357;Taip;4;2;3;9
9;Aitvaras;"VIJURKAI (ALERG.)";6021342178;Taip;11;1;0;12
10;Aitvaras;"VIJURKAI (ALERG.)";2650483861;Taip;0;2;0;2
11;Aitvaras;"VIJURKAI (ALERG.)";4426643908;Ne;5;1;0;6
12;Aitvaras;"VIJURKAI (ALERG.)";2601983670;Taip;9;8;0;17
13;Aitvaras;"VIJURKAI (ALERG.)";2895663259;Taip;0;1;0;1
14;Aitvaras;"VIJURKAI (ALERG.)";3570820823;Taip;0;4;0;4
15;Aitvaras;"VIJURKAI (ALERG.)";6444377924;Taip;12;0;0;12
16;Aitvaras;"VIJURKAI (ALERG.)";4702400490;Taip;9;1;0;10
17;Aitvaras;"SMALSUČIAI (ALERG.)";4868552034;Taip;0;0;11;11
18;Aitvaras;"SMALSUČIAI (ALERG.)";6166757095;Taip;9;0;0;9
19;Aitvaras;"SMALSUČIAI (ALERG.)";4480921300;Taip;9;0;0;9
20;Aitvaras;"SMALSUČIAI (ALERG.)";1019661577;Taip;0;8;0;8
21;Aitvaras;"SMALSUČIAI (ALERG.)";5425259260;Taip;15;2;0;17
22;Aitvaras;"SMALSUČIAI (ALERG.)";6201118021;Taip;5;1;1;7
23;Aitvaras;"SMALSUČIAI (ALERG.)";5750154036;Taip;0;4;0;4
24;Aitvaras;"SMALSUČIAI (ALERG.)";6084096300;Taip;3;1;0;4
25;Aitvaras;"SMALSUČIAI (ALERG.)";2004112424;Taip;5;3;0;8
26;Aitvaras;"SMALSUČIAI (ALERG.)";5330618557;Taip;11;1;0;12
27;Aitvaras;"SMALSUČIAI (ALERG.)";3488467265;Taip;4;3;1;8
28;Aitvaras;"SMALSUČIAI (ALERG.)";9745864667;Taip;6;8;0;14
29;Aitvaras;"SMALSUČIAI (ALERG.)";9810370596;Taip;3;5;0;8
30;Aitvaras;"SMALSUČIAI (ALERG.)";1954364886;Taip;10;3;0;13
31;Aitvaras;"SMALSUČIAI (ALERG.)";3535659630;Taip;9;0;4;13
32;Aitvaras;"SMALSUČIAI (ALERG.)";4833313373;Taip;0;3;0;3
33;Aitvaras;"SMALSUČIAI (ALERG.)";24247118884;Taip;0;3;0;3
34;Aitvaras;"SMALSUČIAI (ALERG.)";5504431748;Taip;4;0;0;4
35;Aitvaras;"SMALSUČIAI (ALERG.)";5389627560;Ne;7;2;2;11
36;Aitvaras;"SMALSUČIAI (ALERG.)";2953536545;Taip;4;1;2;7
37;Aitvaras;"SMALSUČIAI (ALERG.)";1636794584;Ne;12;4;0;16
38;Aitvaras;"SMALSUČIAI (ALERG.)";5956333024;Taip;5;0;0;5
39;Aitvaras;"SMALSUČIAI (ALERG.)";5595233402;Taip;14;0;1;15
40;Aitvaras;PADAUŽIUKAI;1494094426;Taip;0;11;0;11
41;Aitvaras;PADAUŽIUKAI;9332771711;Taip;9;1;0;10
42;Aitvaras;PADAUŽIUKAI;6550426644;Taip;9;6;0;15
43;Aitvaras;PADAUŽIUKAI;5818794912;Taip;0;2;0;2
44;Aitvaras;PADAUŽIUKAI;58780461337;Ne;0;1;4;5
45;Aitvaras;PADAUŽIUKAI;2034293999;Taip;22;0;0;22
46;Aitvaras;PADAUŽIUKAI;44046627149;Ne;5;1;0;6
47;Aitvaras;PADAUŽIUKAI;43711349817;Taip;0;0;1;1
48;Aitvaras;PADAUŽIUKAI;2804106417;Taip;0;2;1;3
49;Aitvaras;PADAUŽIUKAI;2711888522;Taip;4;2;1;7
50;Aitvaras;PADAUŽIUKAI;1996524718;Taip;3;2;1;6
51;Aitvaras;PADAUŽIUKAI;4110585744;Taip;0;7;0;7
52;Aitvaras;PADAUŽIUKAI;7469656671;Taip;1;6;0;7
53;Aitvaras;PADAUŽIUKAI;6010324894;Taip;4;0;0;4
54;Aitvaras;PADAUŽIUKAI;2408952971;Taip;4;0;0;4
55;Aitvaras;PADAUŽIUKAI;47875842134;Taip;0;1;2;3
56;Aitvaras;PADAUŽIUKAI;40799643122;Taip;10;4;0;14
57;Aitvaras;PADAUŽIUKAI;9015675095;Taip;0;3;0;3
58;Aitvaras;PADAUŽIUKAI;8503279655;Ne;0;1;3;4
59;Aitvaras;PADAUŽIUKAI;8121858940;Ne;5;1;4;10
60;Aitvaras;PADAUŽIUKAI;6951219468;Taip;0;2;0;2
61;Aitvaras;"AITVARIUKAI (ALERG.)";3639102842;Taip;5;3;0;8
62;Aitvaras;"AITVARIUKAI (ALERG.)";7243387750;Taip;15;0;0;15
63;Aitvaras;"AITVARIUKAI (ALERG.)";6587437949;Ne;8;4;0;12
64;Aitvaras;"AITVARIUKAI (ALERG.)";7461284958;Taip;6;6;0;12
65;Aitvaras;"AITVARIUKAI (ALERG.)";3394251305;Taip;8;0;0;8
66;Aitvaras;"AITVARIUKAI (ALERG.)";6459307767;Taip;9;1;0;10
67;Aitvaras;"AITVARIUKAI (ALERG.)";5635576679;Ne;6;2;0;8
68;Aitvaras;"AITVARIUKAI (ALERG.)";7988247429;Taip;0;5;0;5
69;Aitvaras;"AITVARIUKAI (ALERG.)";8770777328;Taip;9;2;0;11
70;Aitvaras;"AITVARIUKAI (ALERG.)";3653879553;Taip;5;1;0;6
71;Aitvaras;"AITVARIUKAI (ALERG.)";9721273154;Taip;11;0;0;11
72;Aitvaras;"AITVARIUKAI (ALERG.)";5103105065;Taip;22;0;0;22
73;Aitvaras;"AITVARIUKAI (ALERG.)";8543644000;Taip;6;0;0;6
74;Aitvaras;"AITVARIUKAI (ALERG.)";1859647003;Taip;19;0;0;19
75;Aitvaras;"AITVARIUKAI (ALERG.)";4204923580;Taip;0;8;0;8
76;Aitvaras;"AITVARIUKAI (ALERG.)";4777266938;Taip;14;3;0;17
77;Aitvaras;"AITVARIUKAI (ALERG.)";7568388141;Taip;9;4;0;13
78;Aitvaras;"AITVARIUKAI (ALERG.)";3954840915;Taip;5;1;0;6
79;Aitvaras;"AITVARIUKAI (ALERG.)";2146963673;Taip;21;0;0;21
80;Aitvaras;"AITVARIUKAI (ALERG.)";9763502346;Taip;9;6;0;15
81;Aitvaras;"AITVARIUKAI (ALERG.)";9228736015;Taip;9;0;0;9
82;Aitvaras;"AITVARIUKAI (ALERG.)";3775634117;Taip;6;0;0;6
83;Aitvaras;"AITVARIUKAI (ALERG.)";2615576367;Ne;7;0;0;7
84;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";5711324951;Taip;8;0;0;8
85;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";5619137905;Taip;10;1;0;11
86;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";4106097701;Taip;0;4;0;4
