Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";3923601422;Taip;0;4;0;4
2;Aitvaras;"VIJURKAI (ALERG.)";8300788433;Taip;0;18;0;18
3;Aitvaras;"VIJURKAI (ALERG.)";2975696317;Taip;0;7;0;7
4;Aitvaras;"VIJURKAI (ALERG.)";1131690624;Taip;0;5;0;5
5;Aitvaras;"VIJURKAI (ALERG.)";8963214183;Taip;0;6;0;6
6;Aitvaras;"VIJURKAI (ALERG.)";4371233140;Taip;0;4;0;4
7;Aitvaras;"SMALSUČIAI (ALERG.)";8333823078;Taip;0;15;0;15
8;Aitvaras;"SMALSUČIAI (ALERG.)";5102163688;Taip;0;7;0;7
9;Aitvaras;"SMALSUČIAI (ALERG.)";4089939292;Taip;0;5;0;5
10;Aitvaras;"SMALSUČIAI (ALERG.)";3961423273;Taip;0;10;0;10
11;Aitvaras;"SMALSUČIAI (ALERG.)";4954780185;Taip;0;5;0;5
12;Aitvaras;PADAUŽIUKAI;2887681961;Taip;0;22;0;22
13;Aitvaras;PADAUŽIUKAI;4760801928;Taip;0;4;0;4
14;Aitvaras;PADAUŽIUKAI;7922937851;Taip;0;1;0;1
15;Aitvaras;PADAUŽIUKAI;8746884740;Taip;0;10;0;10
16;Aitvaras;PADAUŽIUKAI;4163871634;Taip;0;2;0;2
17;Aitvaras;PADAUŽIUKAI;3988226974;Taip;0;1;0;1
18;Aitvaras;PADAUŽIUKAI;4987412561;Taip;0;5;0;5
19;Aitvaras;PADAUŽIUKAI;2239387580;Taip;0;2;0;2
20;Aitvaras;PADAUŽIUKAI;9949206639;Taip;0;14;0;14
21;Aitvaras;"AITVARIUKAI (ALERG.)";7888625455;Taip;0;1;0;1
22;Aitvaras;"AITVARIUKAI (ALERG.)";3807717922;Ne;0;5;0;5
23;Aitvaras;"AITVARIUKAI (ALERG.)";7195803669;Taip;0;17;0;17
24;Aitvaras;"AITVARIUKAI (ALERG.)";4417958878;Ne;0;13;0;13
25;Aitvaras;"AITVARIUKAI (ALERG.)";7522245822;Taip;0;21;0;21
26;Aitvaras;"AITVARIUKAI (ALERG.)";6097070659;Taip;0;15;0;15
27;Aitvaras;"AITVARIUKAI (ALERG.)";9917213159;Taip;0;19;0;19
28;Aitvaras;"AITVARIUKAI (ALERG.)";1032313462;Taip;0;1;0;1
29;Aitvaras;"AITVARIUKAI (ALERG.)";3354172367;Taip;0;18;0;18
30;Aitvaras;"AITVARIUKAI (ALERG.)";7980909927;Taip;0;2;0;2
31;Aitvaras;"AITVARIUKAI (ALERG.)";1373644499;Taip;0;13;0;13
32;Aitvaras;"AITVARIUKAI (ALERG.)";4814157513;Taip;0;22;0;22
33;Aitvaras;"AITVARIUKAI (ALERG.)";3108983162;Taip;0;4;0;4
34;Aitvaras;"AITVARIUKAI (ALERG.)";6495691738;Taip;0;20;0;20
35;Aitvaras;"AITVARIUKAI (ALERG.)";5804395503;Taip;0;13;0;13
36;Aitvaras;"AITVARIUKAI (ALERG.)";1749761480;Taip;0;9;0;9
37;Aitvaras;"AITVARIUKAI (ALERG.)";8786314303;Taip;0;22;0;22
38;Aitvaras;"AITVARIUKAI (ALERG.)";1258887357;Ne;0;22;0;22
39;Aitvaras;"AITVARIUKAI (ALERG.)";3793568202;Ne;0;11;0;11
40;Aitvaras;"AITVARIUKAI (ALERG.)";5228047718;Taip;0;22;0;22
41;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";3539407654;Taip;0;12;0;12
42;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2790604707;Taip;0;8;0;8
43;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";4366028279;Taip;0;22;0;22
44;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";5163428591;Ne;0;10;0;10
45;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";5596672329;Taip;0;11;0;11
46;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";4410330710;Taip;0;19;0;19
47;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";3887242615;Taip;0;5;0;5
48;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2200272673;Taip;0;13;0;13
49;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2936303698;Taip;0;16;0;16
50;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";4231132751;Taip;0;12;0;12
51;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";1139670762;Taip;0;9;0;9
52;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";5042010804;Taip;0;22;0;22
53;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";5353091744;Taip;0;22;0;22
54;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";9984737041;Taip;0;5;0;5
55;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";3187474100;Taip;0;15;0;15
56;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";7881392039;Taip;0;9;0;9
57;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";5886215156;Taip;0;12;0;12
58;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";3916363218;Taip;0;22;0;22
59;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";3167209653;Taip;0;22;0;22
60;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";3359521719;Taip;0;22;0;22
61;Aitvaras;"ŽEMYNUKAI (ALERG.)";7786663846;Taip;0;3;0;3
62;Aitvaras;"ŽEMYNUKAI (ALERG.)";5767975124;Taip;0;1;0;1
63;Aitvaras;"ŽEMYNUKAI (ALERG.)";1943052041;Taip;0;2;0;2
64;Aitvaras;"ŽEMYNUKAI (ALERG.)";7039462893;Taip;0;4;0;4
65;Aitvaras;"ŽEMYNUKAI (ALERG.)";9840714363;Taip;0;11;0;11
66;Aitvaras;"ŽEMYNUKAI (ALERG.)";9224771148;Taip;0;4;0;4
67;Aitvaras;"ŽEMYNUKAI (ALERG.)";6293589945;Taip;0;2;0;2
68;Aitvaras;"ŽEMYNUKAI (ALERG.)";2667455167;Taip;0;22;0;22
69;Aitvaras;"ŽEMYNUKAI (ALERG.)";6211708705;Taip;0;22;0;22
70;Aitvaras;"ŽEMYNUKAI (ALERG.)";6315231056;Taip;0;10;0;10
71;Aitvaras;"ŽEMYNUKAI (ALERG.)";3800052067;Taip;0;13;0;13
72;Aitvaras;"ŽEMYNUKAI (ALERG.)";6693977781;Taip;0;18;0;18
73;Aitvaras;"ŽEMYNUKAI (ALERG.)";7633879059;Taip;0;6;0;6
74;Aitvaras;"LINKSMUČIAI (ALERG.)";4721229601;Taip;0;21;0;21
75;Aitvaras;"LINKSMUČIAI (ALERG.)";7598319477;Ne;0;2;0;2
76;Aitvaras;"LINKSMUČIAI (ALERG.)";5697675670;Taip;0;18;0;18
77;Aitvaras;"LINKSMUČIAI (ALERG.)";4394700961;Taip;0;4;0;4
78;Aitvaras;"LINKSMUČIAI (ALERG.)";8161320750;Taip;0;14;0;14
79;Aitvaras;"LINKSMUČIAI (ALERG.)";7886218360;Taip;0;2;0;2
80;Aitvaras;"LINKSMUČIAI (ALERG.)";4897595828;Taip;0;22;0;22
81;Aitvaras;"LINKSMUČIAI (ALERG.)";2209078997;Taip;0;22;0;22
82;Aitvaras;"LINKSMUČIAI (ALERG.)";7463592589;Taip;0;14;0;14
83;Aitvaras;"LINKSMUČIAI (ALERG.)";9294248422;Taip;0;4;0;4
84;Aitvaras;"LINKSMUČIAI (ALERG.)";2263139249;Taip;0;22;0;22
85;Aitvaras;"LINKSMUČIAI (ALERG.)";2962079402;Taip;0;18;0;18
86;Aitvaras;"LINKSMUČIAI (ALERG.)";1416108891;Taip;0;22;0;22
87;Aitvaras;"LINKSMUČIAI (ALERG.)";4470687397;Taip;0;22;0;22
88;Aitvaras;"LINKSMUČIAI (ALERG.)";7898085623;Taip;0;5;0;5
89;Aitvaras;"LINKSMUČIAI (ALERG.)";8890285695;Taip;0;3;0;3
90;Aitvaras;"LINKSMUČIAI (ALERG.)";3096861110;Taip;0;16;0;16
91;Aitvaras;"LINKSMUČIAI (ALERG.)";4973214588;Taip;0;19;0;19
92;Aitvaras;"LINKSMUČIAI (ALERG.)";4656690115;Taip;0;13;0;13
93;Aitvaras;NAMINUKAI;5563725441;Taip;0;19;0;19
94;Aitvaras;NAMINUKAI;1961795617;Taip;0;14;0;14
95;Aitvaras;NAMINUKAI;9081528512;Taip;0;15;0;15
96;Aitvaras;NAMINUKAI;9494510876;Taip;0;5;0;5
97;Aitvaras;NAMINUKAI;4816698202;Taip;0;3;0;3
98;Aitvaras;NAMINUKAI;2817620246;Taip;0;7;0;7
99;Aitvaras;NAMINUKAI;6906900852;Taip;0;22;0;22
100;Aitvaras;NAMINUKAI;1020056632;Taip;0;10;0;10
101;Aitvaras;NAMINUKAI;4560348711;Taip;0;10;0;10
102;Aitvaras;NAMINUKAI;4251238917;Taip;0;6;0;6
103;Aitvaras;NAMINUKAI;8003130815;Taip;0;11;0;11
104;Aitvaras;NAMINUKAI;2045368104;Taip;0;1;0;1
