Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";6936031222;Taip;5;0;1;6
2;Aitvaras;"VIJURKAI (ALERG.)";6214880713;Taip;3;0;0;3
3;Aitvaras;"VIJURKAI (ALERG.)";2566375128;Ne;0;2;0;2
4;Aitvaras;"VIJURKAI (ALERG.)";1879540041;Taip;0;8;0;8
5;Aitvaras;"VIJURKAI (ALERG.)";1532588441;Taip;0;1;0;1
6;Aitvaras;"VIJURKAI (ALERG.)";8206046301;Taip;0;2;0;2
7;Aitvaras;"VIJURKAI (ALERG.)";1347364985;Taip;5;0;0;5
8;Aitvaras;"VIJURKAI (ALERG.)";9157794193;Taip;4;4;0;8
9;Aitvaras;"VIJURKAI (ALERG.)";9562494357;Taip;7;1;0;8
10;Aitvaras;"VIJURKAI (ALERG.)";6021342178;Taip;14;4;0;18
11;Aitvaras;"VIJURKAI (ALERG.)";2650483861;Taip;3;3;0;6
12;Aitvaras;"VIJURKAI (ALERG.)";2601983670;Taip;0;1;0;1
13;Aitvaras;"VIJURKAI (ALERG.)";2895663259;Taip;0;1;0;1
14;Aitvaras;"VIJURKAI (ALERG.)";6444377924;Taip;3;4;0;7
15;Aitvaras;"VIJURKAI (ALERG.)";4702400490;Taip;0;4;0;4
16;Aitvaras;"VIJURKAI (ALERG.)";8641433486;Taip;4;1;0;5
17;Aitvaras;"VIJURKAI (ALERG.)";5619137905;Taip;1;4;0;5
18;Aitvaras;"SMALSUČIAI (ALERG.)";7109001184;Ne;1;0;0;1
19;Aitvaras;"SMALSUČIAI (ALERG.)";2357399981;Taip;2;1;0;3
20;Aitvaras;"SMALSUČIAI (ALERG.)";2760970218;Taip;0;3;0;3
21;Aitvaras;"SMALSUČIAI (ALERG.)";8666824607;Taip;0;5;0;5
22;Aitvaras;"SMALSUČIAI (ALERG.)";5378212904;Taip;0;4;0;4
23;Aitvaras;"SMALSUČIAI (ALERG.)";5238819066;Taip;0;2;1;3
24;Aitvaras;"SMALSUČIAI (ALERG.)";4176681907;Taip;0;12;0;12
25;Aitvaras;"SMALSUČIAI (ALERG.)";7260577885;Taip;0;4;0;4
26;Aitvaras;"SMALSUČIAI (ALERG.)";5612991255;Taip;2;4;0;6
27;Aitvaras;"SMALSUČIAI (ALERG.)";4120515569;Taip;10;6;0;16
28;Aitvaras;"SMALSUČIAI (ALERG.)";4612994715;Taip;2;0;4;6
29;Aitvaras;"SMALSUČIAI (ALERG.)";9885781306;Taip;0;2;0;2
30;Aitvaras;"SMALSUČIAI (ALERG.)";1091372798;Taip;4;4;0;8
31;Aitvaras;"SMALSUČIAI (ALERG.)";1599183050;Taip;1;0;0;1
32;Aitvaras;"SMALSUČIAI (ALERG.)";2821221241;Taip;0;2;0;2
33;Aitvaras;PADAUŽIUKAI;8065540507;Taip;7;3;1;11
34;Aitvaras;PADAUŽIUKAI;2328771385;Taip;9;9;0;18
35;Aitvaras;PADAUŽIUKAI;6501943902;Taip;8;4;0;12
36;Aitvaras;PADAUŽIUKAI;4350590529;Taip;0;4;0;4
37;Aitvaras;PADAUŽIUKAI;7777235021;Taip;0;1;0;1
38;Aitvaras;PADAUŽIUKAI;5641224483;Taip;0;4;0;4
39;Aitvaras;PADAUŽIUKAI;6214572150;Taip;12;1;0;13
40;Aitvaras;PADAUŽIUKAI;1830134108;Taip;1;1;4;6
41;Aitvaras;PADAUŽIUKAI;3178965623;Taip;0;4;0;4
42;Aitvaras;PADAUŽIUKAI;6739827530;Taip;3;2;0;5
43;Aitvaras;PADAUŽIUKAI;3735941659;Taip;5;0;0;5
44;Aitvaras;PADAUŽIUKAI;3323458595;Taip;0;2;0;2
45;Aitvaras;PADAUŽIUKAI;2807595769;Taip;0;3;0;3
46;Aitvaras;PADAUŽIUKAI;8360380303;Taip;0;2;0;2
47;Aitvaras;PADAUŽIUKAI;1252145346;Taip;5;3;0;8
48;Aitvaras;PADAUŽIUKAI;7455895024;Taip;0;4;1;5
49;Aitvaras;PADAUŽIUKAI;8439586875;Taip;5;5;0;10
50;Aitvaras;PADAUŽIUKAI;1594675221;Taip;0;2;0;2
51;Aitvaras;"AITVARIUKAI (ALERG.)";3639102842;Taip;0;2;0;2
52;Aitvaras;"AITVARIUKAI (ALERG.)";7243387750;Taip;0;3;0;3
53;Aitvaras;"AITVARIUKAI (ALERG.)";7461284958;Taip;0;6;0;6
54;Aitvaras;"AITVARIUKAI (ALERG.)";3394251305;Taip;0;5;0;5
55;Aitvaras;"AITVARIUKAI (ALERG.)";6459307767;Taip;0;1;0;1
56;Aitvaras;"AITVARIUKAI (ALERG.)";5635576679;Taip;0;9;0;9
57;Aitvaras;"AITVARIUKAI (ALERG.)";7988247429;Taip;0;4;0;4
58;Aitvaras;"AITVARIUKAI (ALERG.)";8770777328;Taip;8;0;0;8
59;Aitvaras;"AITVARIUKAI (ALERG.)";3653879553;Taip;0;4;0;4
60;Aitvaras;"AITVARIUKAI (ALERG.)";9721273154;Taip;8;0;0;8
61;Aitvaras;"AITVARIUKAI (ALERG.)";1859647003;Taip;2;0;0;2
62;Aitvaras;"AITVARIUKAI (ALERG.)";4204923580;Taip;0;6;0;6
63;Aitvaras;"AITVARIUKAI (ALERG.)";4777266938;Taip;10;0;0;10
64;Aitvaras;"AITVARIUKAI (ALERG.)";7568388141;Taip;3;1;0;4
65;Aitvaras;"AITVARIUKAI (ALERG.)";3954840915;Taip;0;4;0;4
