Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";6936031222;Ne;0;0;1;1
2;Aitvaras;"VIJURKAI (ALERG.)";2566375128;Ne;0;14;0;14
3;Aitvaras;"VIJURKAI (ALERG.)";1879540041;Ne;4;5;0;9
4;Aitvaras;"VIJURKAI (ALERG.)";8206046301;Ne;16;0;1;17
5;Aitvaras;"VIJURKAI (ALERG.)";1347364985;Ne;2;0;0;2
6;Aitvaras;"VIJURKAI (ALERG.)";9157794193;Ne;14;2;0;16
7;Aitvaras;"VIJURKAI (ALERG.)";9562494357;Ne;5;1;0;6
8;Aitvaras;"VIJURKAI (ALERG.)";6021342178;Ne;11;2;0;13
9;Aitvaras;"VIJURKAI (ALERG.)";2650483861;Ne;5;2;0;7
10;Aitvaras;"VIJURKAI (ALERG.)";2601983670;Ne;0;1;0;1
11;Aitvaras;"VIJURKAI (ALERG.)";3570820823;Ne;0;0;1;1
12;Aitvaras;"VIJURKAI (ALERG.)";6444377924;Ne;5;3;0;8
13;Aitvaras;"VIJURKAI (ALERG.)";4702400490;Ne;2;0;0;2
14;Aitvaras;"VIJURKAI (ALERG.)";9807784148;Ne;5;1;0;6
15;Aitvaras;"VIJURKAI (ALERG.)";8641433486;Ne;3;3;0;6
16;Aitvaras;"VIJURKAI (ALERG.)";5619137905;Ne;3;0;0;3
17;Aitvaras;"SMALSUČIAI (ALERG.)";7109001184;Ne;2;2;0;4
18;Aitvaras;"SMALSUČIAI (ALERG.)";4114397590;Ne;0;2;0;2
19;Aitvaras;"SMALSUČIAI (ALERG.)";2357399981;Ne;15;0;0;15
20;Aitvaras;"SMALSUČIAI (ALERG.)";2760970218;Ne;4;1;0;5
21;Aitvaras;"SMALSUČIAI (ALERG.)";8666824607;Ne;5;1;0;6
22;Aitvaras;"SMALSUČIAI (ALERG.)";5378212904;Ne;2;3;0;5
23;Aitvaras;"SMALSUČIAI (ALERG.)";4564723798;Ne;11;0;1;12
24;Aitvaras;"SMALSUČIAI (ALERG.)";4176681907;Ne;5;2;0;7
25;Aitvaras;"SMALSUČIAI (ALERG.)";3655710511;Ne;1;0;0;1
26;Aitvaras;"SMALSUČIAI (ALERG.)";7260577885;Ne;4;1;0;5
27;Aitvaras;"SMALSUČIAI (ALERG.)";4120515569;Ne;10;2;0;12
28;Aitvaras;"SMALSUČIAI (ALERG.)";4612994715;Ne;2;1;3;6
29;Aitvaras;"SMALSUČIAI (ALERG.)";9885781306;Ne;2;2;0;4
30;Aitvaras;"SMALSUČIAI (ALERG.)";1091372798;Ne;9;0;0;9
