Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";1877245088;Ne;6;7;0;13
2;Aitvaras;"VIJURKAI (ALERG.)";6936031222;Taip;0;6;1;7
3;Aitvaras;"VIJURKAI (ALERG.)";6214880713;Taip;0;1;0;1
4;Aitvaras;"VIJURKAI (ALERG.)";2566375128;Taip;6;1;0;7
5;Aitvaras;"VIJURKAI (ALERG.)";1879540041;Taip;0;10;0;10
6;Aitvaras;"VIJURKAI (ALERG.)";1532588441;Taip;0;3;0;3
7;Aitvaras;"VIJURKAI (ALERG.)";8206046301;Taip;8;0;1;9
8;Aitvaras;"VIJURKAI (ALERG.)";1347364985;Taip;15;0;0;15
9;Aitvaras;"VIJURKAI (ALERG.)";9157794193;Taip;14;2;0;16
10;Aitvaras;"VIJURKAI (ALERG.)";9562494357;Taip;0;2;0;2
11;Aitvaras;"VIJURKAI (ALERG.)";6021342178;Taip;6;1;0;7
12;Aitvaras;"VIJURKAI (ALERG.)";2650483861;Taip;0;3;0;3
13;Aitvaras;"VIJURKAI (ALERG.)";2601983670;Taip;0;2;0;2
14;Aitvaras;"VIJURKAI (ALERG.)";2895663259;Taip;5;0;0;5
15;Aitvaras;"VIJURKAI (ALERG.)";6444377924;Taip;0;0;19;19
16;Aitvaras;"VIJURKAI (ALERG.)";4702400490;Taip;0;1;0;1
17;Aitvaras;"SMALSUČIAI (ALERG.)";4868552034;Taip;0;1;1;2
18;Aitvaras;"SMALSUČIAI (ALERG.)";6166757095;Taip;12;1;0;13
19;Aitvaras;"SMALSUČIAI (ALERG.)";4480921300;Taip;5;1;0;6
20;Aitvaras;"SMALSUČIAI (ALERG.)";1019661577;Taip;0;3;0;3
21;Aitvaras;"SMALSUČIAI (ALERG.)";5425259260;Taip;0;1;0;1
22;Aitvaras;"SMALSUČIAI (ALERG.)";6201118021;Taip;0;2;0;2
23;Aitvaras;"SMALSUČIAI (ALERG.)";5750154036;Taip;0;1;0;1
24;Aitvaras;"SMALSUČIAI (ALERG.)";6084096300;Taip;0;2;2;4
25;Aitvaras;"SMALSUČIAI (ALERG.)";2004112424;Taip;0;3;0;3
26;Aitvaras;"SMALSUČIAI (ALERG.)";5330618557;Taip;7;2;0;9
27;Aitvaras;"SMALSUČIAI (ALERG.)";3488467265;Taip;0;3;0;3
28;Aitvaras;"SMALSUČIAI (ALERG.)";9745864667;Taip;0;5;0;5
29;Aitvaras;"SMALSUČIAI (ALERG.)";9810370596;Taip;4;0;0;4
30;Aitvaras;"SMALSUČIAI (ALERG.)";1954364886;Taip;6;2;0;8
31;Aitvaras;"SMALSUČIAI (ALERG.)";3535659630;Taip;0;1;1;2
32;Aitvaras;"SMALSUČIAI (ALERG.)";4833313373;Taip;0;1;2;3
33;Aitvaras;"SMALSUČIAI (ALERG.)";24247118884;Taip;0;3;0;3
34;Aitvaras;"SMALSUČIAI (ALERG.)";5504431748;Taip;5;0;0;5
35;Aitvaras;"SMALSUČIAI (ALERG.)";5389627560;Ne;0;2;3;5
36;Aitvaras;"SMALSUČIAI (ALERG.)";2953536545;Taip;0;3;1;4
37;Aitvaras;"SMALSUČIAI (ALERG.)";1636794584;Ne;0;4;0;4
38;Aitvaras;"SMALSUČIAI (ALERG.)";5956333024;Taip;0;1;0;1
39;Aitvaras;"SMALSUČIAI (ALERG.)";5595233402;Taip;5;0;0;5
40;Aitvaras;PADAUŽIUKAI;1494094426;Taip;0;5;0;5
41;Aitvaras;PADAUŽIUKAI;6550426644;Taip;15;4;0;19
42;Aitvaras;PADAUŽIUKAI;5818794912;Taip;0;4;0;4
43;Aitvaras;PADAUŽIUKAI;58780461337;Ne;0;1;4;5
44;Aitvaras;PADAUŽIUKAI;2034293999;Taip;17;0;0;17
45;Aitvaras;PADAUŽIUKAI;1116271183;Taip;0;1;0;1
46;Aitvaras;PADAUŽIUKAI;1996524718;Taip;5;1;0;6
47;Aitvaras;PADAUŽIUKAI;4110585744;Taip;0;3;0;3
48;Aitvaras;PADAUŽIUKAI;7469656671;Taip;0;1;0;1
49;Aitvaras;PADAUŽIUKAI;6010324894;Taip;0;1;0;1
50;Aitvaras;PADAUŽIUKAI;2408952971;Taip;21;0;0;21
51;Aitvaras;PADAUŽIUKAI;47875842134;Taip;0;1;0;1
52;Aitvaras;PADAUŽIUKAI;40799643122;Taip;0;2;0;2
53;Aitvaras;PADAUŽIUKAI;8784628567;Taip;0;1;0;1
54;Aitvaras;PADAUŽIUKAI;9015675095;Taip;4;2;0;6
55;Aitvaras;PADAUŽIUKAI;8121858940;Ne;0;1;4;5
56;Aitvaras;PADAUŽIUKAI;6951219468;Taip;5;1;0;6
57;Aitvaras;"AITVARIUKAI (ALERG.)";3639102842;Taip;0;2;0;2
58;Aitvaras;"AITVARIUKAI (ALERG.)";7243387750;Taip;5;6;0;11
59;Aitvaras;"AITVARIUKAI (ALERG.)";6587437949;Taip;8;4;0;12
60;Aitvaras;"AITVARIUKAI (ALERG.)";7461284958;Taip;0;5;0;5
61;Aitvaras;"AITVARIUKAI (ALERG.)";3394251305;Taip;0;3;0;3
62;Aitvaras;"AITVARIUKAI (ALERG.)";6459307767;Taip;3;0;0;3
63;Aitvaras;"AITVARIUKAI (ALERG.)";5635576679;Taip;0;9;0;9
64;Aitvaras;"AITVARIUKAI (ALERG.)";7988247429;Taip;5;2;0;7
65;Aitvaras;"AITVARIUKAI (ALERG.)";8770777328;Taip;5;2;0;7
66;Aitvaras;"AITVARIUKAI (ALERG.)";3653879553;Taip;0;2;2;4
67;Aitvaras;"AITVARIUKAI (ALERG.)";9721273154;Taip;12;0;1;13
68;Aitvaras;"AITVARIUKAI (ALERG.)";5103105065;Taip;17;0;0;17
69;Aitvaras;"AITVARIUKAI (ALERG.)";8543644000;Taip;0;1;0;1
70;Aitvaras;"AITVARIUKAI (ALERG.)";1859647003;Taip;8;0;0;8
71;Aitvaras;"AITVARIUKAI (ALERG.)";4204923580;Taip;9;2;0;11
72;Aitvaras;"AITVARIUKAI (ALERG.)";4777266938;Taip;15;2;0;17
73;Aitvaras;"AITVARIUKAI (ALERG.)";7568388141;Taip;11;1;0;12
74;Aitvaras;"AITVARIUKAI (ALERG.)";3954840915;Taip;0;0;2;2
75;Aitvaras;"AITVARIUKAI (ALERG.)";2146963673;Taip;7;0;0;7
76;Aitvaras;"AITVARIUKAI (ALERG.)";9763502346;Taip;6;8;0;14
77;Aitvaras;"AITVARIUKAI (ALERG.)";9228736015;Taip;0;1;0;1
78;Aitvaras;"AITVARIUKAI (ALERG.)";3775634117;Taip;0;2;0;2
79;Aitvaras;"AITVARIUKAI (ALERG.)";2615576367;Ne;5;4;0;9
80;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";5711324951;Taip;11;6;0;17
81;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";5619137905;Taip;13;2;0;15
82;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";4106097701;Taip;0;3;0;3
83;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2184231202;Taip;0;6;3;9
84;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2478737835;Taip;5;0;4;9
85;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";1136438927;Taip;5;2;0;7
86;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";8137900398;Taip;4;1;5;10
87;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";9147954612;Taip;7;0;1;8
88;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2511844613;Taip;10;1;1;12
89;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";7907357058;Taip;10;1;0;11
90;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";9534206000;Taip;10;2;0;12
91;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";3737054758;Taip;18;0;2;20
92;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";9271534775;Taip;10;0;3;13
93;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";8849563638;Taip;13;2;0;15
94;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";6950820937;Taip;15;0;0;15
95;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";5252728205;Taip;0;0;1;1
96;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2744696131;Taip;0;6;0;6
97;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2373509019;Taip;16;0;0;16
98;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2624566766;Taip;15;0;1;16
99;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";3677551059;Ne;5;1;0;6
100;Aitvaras;"ŽEMYNUKAI (ALERG.)";8567255042;Ne;13;1;0;14
101;Aitvaras;"ŽEMYNUKAI (ALERG.)";6218019092;Taip;0;5;5;10
102;Aitvaras;"ŽEMYNUKAI (ALERG.)";7560642918;Taip;0;1;0;1
103;Aitvaras;"ŽEMYNUKAI (ALERG.)";3820930777;Taip;31;0;0;31
104;Aitvaras;"ŽEMYNUKAI (ALERG.)";6624986090;Taip;18;0;1;19
105;Aitvaras;"ŽEMYNUKAI (ALERG.)";4733627644;Taip;0;6;3;9
106;Aitvaras;"ŽEMYNUKAI (ALERG.)";3104109370;Taip;5;2;6;13
107;Aitvaras;"ŽEMYNUKAI (ALERG.)";7853714142;Taip;0;3;3;6
108;Aitvaras;"ŽEMYNUKAI (ALERG.)";1949144346;Taip;10;3;0;13
109;Aitvaras;"ŽEMYNUKAI (ALERG.)";8641433486;Taip;10;0;7;17
110;Aitvaras;"ŽEMYNUKAI (ALERG.)";3961423273;Taip;9;0;0;9
111;Aitvaras;"ŽEMYNUKAI (ALERG.)";9947610763;Taip;0;3;1;4
