Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";6214880713;Ne;0;1;0;1
2;Aitvaras;"VIJURKAI (ALERG.)";2566375128;Ne;0;1;0;1
3;Aitvaras;"VIJURKAI (ALERG.)";1879540041;Ne;0;11;0;11
4;Aitvaras;"VIJURKAI (ALERG.)";1532588441;Ne;0;2;0;2
5;Aitvaras;"VIJURKAI (ALERG.)";8206046301;Ne;3;1;2;6
6;Aitvaras;"VIJURKAI (ALERG.)";1347364985;Ne;0;2;0;2
7;Aitvaras;"VIJURKAI (ALERG.)";9157794193;Ne;1;3;2;6
8;Aitvaras;"VIJURKAI (ALERG.)";9562494357;Ne;0;3;0;3
9;Aitvaras;"VIJURKAI (ALERG.)";6021342178;Ne;0;2;0;2
10;Aitvaras;"VIJURKAI (ALERG.)";2650483861;Ne;0;3;0;3
11;Aitvaras;"VIJURKAI (ALERG.)";2601983670;Ne;0;4;0;4
12;Aitvaras;"VIJURKAI (ALERG.)";2895663259;Ne;2;0;2;4
13;Aitvaras;"VIJURKAI (ALERG.)";3570820823;Ne;0;2;0;2
14;Aitvaras;"VIJURKAI (ALERG.)";6444377924;Ne;0;22;0;22
15;Aitvaras;"VIJURKAI (ALERG.)";9807784148;Ne;4;0;2;6
16;Aitvaras;"VIJURKAI (ALERG.)";8641433486;Ne;4;2;2;8
17;Aitvaras;"VIJURKAI (ALERG.)";5619137905;Ne;0;2;0;2
18;Aitvaras;"SMALSUČIAI (ALERG.)";7109001184;Ne;0;2;1;3
19;Aitvaras;"SMALSUČIAI (ALERG.)";4114397590;Ne;3;3;2;8
20;Aitvaras;"SMALSUČIAI (ALERG.)";2357399981;Ne;5;0;2;7
21;Aitvaras;"SMALSUČIAI (ALERG.)";2760970218;Ne;0;1;0;1
22;Aitvaras;"SMALSUČIAI (ALERG.)";8666824607;Ne;0;5;0;5
23;Aitvaras;"SMALSUČIAI (ALERG.)";5378212904;Ne;5;3;2;10
24;Aitvaras;"SMALSUČIAI (ALERG.)";5238819066;Ne;1;0;2;3
25;Aitvaras;"SMALSUČIAI (ALERG.)";4564723798;Ne;0;0;2;2
26;Aitvaras;"SMALSUČIAI (ALERG.)";4176681907;Ne;3;5;2;10
27;Aitvaras;"SMALSUČIAI (ALERG.)";3655710511;Ne;0;2;0;2
