Nr.;"Darželio pavadinimas";"Grupės pavadinimas";"Vaiko Identifikacinis Nr.";"Deklaruotas mieste";"Pateisintos dėl ligos";"Pateisintos dėl kitų priežasčių";"Nepateisintos dienos";"Praleistos dienos Viso"
1;Aitvaras;"VIJURKAI (ALERG.)";2566375128;Ne;0;12;0;12
2;Aitvaras;"VIJURKAI (ALERG.)";1879540041;Ne;5;2;0;7
3;Aitvaras;"VIJURKAI (ALERG.)";1532588441;Ne;0;1;0;1
4;Aitvaras;"VIJURKAI (ALERG.)";9157794193;Ne;12;0;0;12
5;Aitvaras;"VIJURKAI (ALERG.)";9562494357;Ne;16;0;0;16
6;Aitvaras;"VIJURKAI (ALERG.)";6021342178;Ne;21;0;0;21
7;Aitvaras;"VIJURKAI (ALERG.)";2650483861;Ne;3;1;0;4
8;Aitvaras;"VIJURKAI (ALERG.)";2601983670;Ne;0;1;0;1
9;Aitvaras;"VIJURKAI (ALERG.)";3570820823;Ne;0;0;1;1
10;Aitvaras;"VIJURKAI (ALERG.)";6444377924;Ne;0;2;0;2
11;Aitvaras;"VIJURKAI (ALERG.)";4702400490;Ne;7;0;0;7
12;Aitvaras;"VIJURKAI (ALERG.)";9807784148;Ne;0;1;0;1
13;Aitvaras;"VIJURKAI (ALERG.)";8641433486;Ne;7;1;0;8
14;Aitvaras;"VIJURKAI (ALERG.)";5619137905;Ne;2;1;0;3
15;Aitvaras;"SMALSUČIAI (ALERG.)";7109001184;Ne;0;0;1;1
16;Aitvaras;"SMALSUČIAI (ALERG.)";4114397590;Ne;3;1;0;4
17;Aitvaras;"SMALSUČIAI (ALERG.)";2357399981;Ne;4;2;0;6
18;Aitvaras;"SMALSUČIAI (ALERG.)";2760970218;Ne;4;2;0;6
19;Aitvaras;"SMALSUČIAI (ALERG.)";8666824607;Ne;0;1;0;1
20;Aitvaras;"SMALSUČIAI (ALERG.)";4564723798;Ne;0;6;0;6
21;Aitvaras;"SMALSUČIAI (ALERG.)";4176681907;Ne;5;1;0;6
22;Aitvaras;"SMALSUČIAI (ALERG.)";5612991255;Ne;0;1;0;1
23;Aitvaras;"SMALSUČIAI (ALERG.)";5572538840;Ne;0;3;0;3
24;Aitvaras;"SMALSUČIAI (ALERG.)";4120515569;Ne;1;0;0;1
25;Aitvaras;"SMALSUČIAI (ALERG.)";4612994715;Ne;2;0;1;3
26;Aitvaras;"SMALSUČIAI (ALERG.)";9885781306;Ne;0;1;0;1
27;Aitvaras;"SMALSUČIAI (ALERG.)";1091372798;Ne;0;1;0;1
28;Aitvaras;PADAUŽIUKAI;8065540507;Ne;0;1;0;1
29;Aitvaras;PADAUŽIUKAI;2328771385;Ne;5;6;0;11
30;Aitvaras;PADAUŽIUKAI;1288810999;Ne;3;0;1;4
31;Aitvaras;PADAUŽIUKAI;5922357091;Ne;10;0;0;10
32;Aitvaras;PADAUŽIUKAI;6501943902;Ne;6;1;0;7
33;Aitvaras;PADAUŽIUKAI;4350590529;Ne;0;2;0;2
34;Aitvaras;PADAUŽIUKAI;7777235021;Ne;0;2;0;2
35;Aitvaras;PADAUŽIUKAI;5641224483;Ne;0;1;0;1
36;Aitvaras;PADAUŽIUKAI;6214572150;Ne;11;0;0;11
37;Aitvaras;PADAUŽIUKAI;1830134108;Taip;0;0;7;7
38;Aitvaras;PADAUŽIUKAI;3178965623;Ne;0;1;0;1
39;Aitvaras;PADAUŽIUKAI;5905456814;Ne;0;1;0;1
40;Aitvaras;PADAUŽIUKAI;6739827530;Ne;0;6;0;6
41;Aitvaras;PADAUŽIUKAI;3323458595;Ne;4;0;0;4
42;Aitvaras;PADAUŽIUKAI;2807595769;Ne;0;6;0;6
43;Aitvaras;PADAUŽIUKAI;8360380303;Ne;3;0;0;3
44;Aitvaras;PADAUŽIUKAI;1252145346;Ne;0;0;3;3
45;Aitvaras;PADAUŽIUKAI;7455895024;Ne;0;3;1;4
46;Aitvaras;PADAUŽIUKAI;8439586875;Ne;4;2;0;6
47;Aitvaras;PADAUŽIUKAI;1594675221;Ne;8;1;0;9
48;Aitvaras;"AITVARIUKAI (ALERG.)";3639102842;Ne;0;1;0;1
49;Aitvaras;"AITVARIUKAI (ALERG.)";7243387750;Ne;4;4;0;8
50;Aitvaras;"AITVARIUKAI (ALERG.)";6587437949;Ne;0;3;0;3
51;Aitvaras;"AITVARIUKAI (ALERG.)";7461284958;Ne;0;1;0;1
52;Aitvaras;"AITVARIUKAI (ALERG.)";3394251305;Ne;0;2;0;2
53;Aitvaras;"AITVARIUKAI (ALERG.)";6459307767;Ne;1;0;0;1
54;Aitvaras;"AITVARIUKAI (ALERG.)";5635576679;Taip;5;1;0;6
55;Aitvaras;"AITVARIUKAI (ALERG.)";7988247429;Ne;2;2;0;4
56;Aitvaras;"AITVARIUKAI (ALERG.)";8770777328;Ne;0;2;0;2
57;Aitvaras;"AITVARIUKAI (ALERG.)";9721273154;Ne;8;0;0;8
58;Aitvaras;"AITVARIUKAI (ALERG.)";8543644000;Ne;4;0;0;4
59;Aitvaras;"AITVARIUKAI (ALERG.)";1859647003;Ne;11;0;0;11
60;Aitvaras;"AITVARIUKAI (ALERG.)";4204923580;Ne;6;1;0;7
61;Aitvaras;"AITVARIUKAI (ALERG.)";4777266938;Ne;6;0;0;6
62;Aitvaras;"AITVARIUKAI (ALERG.)";7568388141;Ne;5;2;0;7
63;Aitvaras;"AITVARIUKAI (ALERG.)";3954840915;Ne;0;7;0;7
64;Aitvaras;"AITVARIUKAI (ALERG.)";2146963673;Ne;1;0;0;1
65;Aitvaras;"AITVARIUKAI (ALERG.)";9763502346;Ne;0;4;0;4
66;Aitvaras;"AITVARIUKAI (ALERG.)";9228736015;Ne;2;7;0;9
67;Aitvaras;"AITVARIUKAI (ALERG.)";2615576367;Ne;11;5;0;16
68;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";5711324951;Ne;0;1;0;1
69;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";9659883026;Ne;6;0;0;6
70;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2184231202;Ne;0;2;0;2
71;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2478737835;Ne;10;0;0;10
72;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";1136438927;Ne;0;1;0;1
73;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";8137900398;Ne;0;2;0;2
74;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";9147954612;Ne;0;0;1;1
75;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2511844613;Ne;8;0;0;8
76;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";9534206000;Ne;2;0;0;2
77;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";3737054758;Taip;9;1;0;10
78;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";4646876966;Ne;7;1;0;8
79;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";9271534775;Ne;3;5;0;8
80;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";5252728205;Ne;0;0;2;2
81;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2373509019;Ne;16;0;0;16
82;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";3677551059;Ne;2;0;1;3
83;Aitvaras;"SAULĖS ZUIKUČIAI  (ALERG.)";2547934790;Ne;0;6;0;6
84;Aitvaras;"ŽEMYNUKAI (ALERG.)";6218019092;Ne;0;4;4;8
85;Aitvaras;"ŽEMYNUKAI (ALERG.)";7560642918;Ne;0;2;0;2
86;Aitvaras;"ŽEMYNUKAI (ALERG.)";3820930777;Ne;28;1;0;29
87;Aitvaras;"ŽEMYNUKAI (ALERG.)";6624986090;Ne;13;0;2;15
88;Aitvaras;"ŽEMYNUKAI (ALERG.)";4733627644;Ne;8;2;0;10
89;Aitvaras;"ŽEMYNUKAI (ALERG.)";3104109370;Ne;1;10;3;14
90;Aitvaras;"ŽEMYNUKAI (ALERG.)";7853714142;Taip;12;1;0;13
91;Aitvaras;"ŽEMYNUKAI (ALERG.)";1949144346;Ne;0;2;1;3
92;Aitvaras;"ŽEMYNUKAI (ALERG.)";3961423273;Ne;0;1;0;1
93;Aitvaras;"ŽEMYNUKAI (ALERG.)";7113016866;Ne;8;0;0;8
94;Aitvaras;"ŽEMYNUKAI (ALERG.)";4377666052;Taip;4;4;6;14
95;Aitvaras;"ŽEMYNUKAI (ALERG.)";8333823078;Ne;0;2;0;2
96;Aitvaras;"ŽEMYNUKAI (ALERG.)";5623106419;Ne;0;2;0;2
97;Aitvaras;"ŽEMYNUKAI (ALERG.)";5351333397;Ne;0;7;0;7
98;Aitvaras;"ŽEMYNUKAI (ALERG.)";2065988478;Ne;16;0;0;16
99;Aitvaras;"ŽEMYNUKAI (ALERG.)";3635354769;Ne;15;2;0;17
100;Aitvaras;"ŽEMYNUKAI (ALERG.)";3851322849;Ne;0;13;0;13
101;Aitvaras;"ŽEMYNUKAI (ALERG.)";7889947603;Ne;10;10;0;20
102;Aitvaras;"ŽEMYNUKAI (ALERG.)";1662289664;Ne;0;10;0;10
103;Aitvaras;"LINKSMUČIAI (ALERG.)";4721229601;Ne;6;0;0;6
104;Aitvaras;"LINKSMUČIAI (ALERG.)";7598319477;Ne;3;0;3;6
105;Aitvaras;"LINKSMUČIAI (ALERG.)";2231465856;Ne;6;0;1;7
106;Aitvaras;"LINKSMUČIAI (ALERG.)";4394700961;Ne;2;0;2;4
107;Aitvaras;"LINKSMUČIAI (ALERG.)";8161320750;Ne;0;1;0;1
108;Aitvaras;"LINKSMUČIAI (ALERG.)";9006105693;Taip;10;0;0;10
109;Aitvaras;"LINKSMUČIAI (ALERG.)";7886218360;Ne;16;0;0;16
110;Aitvaras;"LINKSMUČIAI (ALERG.)";2209078997;Ne;6;0;0;6
111;Aitvaras;"LINKSMUČIAI (ALERG.)";7463592589;Ne;3;0;0;3
112;Aitvaras;"LINKSMUČIAI (ALERG.)";9810208704;Ne;8;0;0;8
113;Aitvaras;"LINKSMUČIAI (ALERG.)";5308153768;Ne;9;0;0;9
114;Aitvaras;"LINKSMUČIAI (ALERG.)";4954780185;Ne;1;0;1;2
115;Aitvaras;NAMINUKAI;3053557807;Ne;0;1;0;1
116;Aitvaras;NAMINUKAI;6126913961;Ne;2;0;0;2
117;Aitvaras;NAMINUKAI;3347213578;Ne;0;2;0;2
118;Aitvaras;NAMINUKAI;9024245490;Taip;0;1;0;1
119;Aitvaras;NAMINUKAI;8512502118;Ne;0;3;0;3
120;Aitvaras;NAMINUKAI;9039303562;Ne;0;6;2;8
121;Aitvaras;NAMINUKAI;6080549524;Ne;0;6;2;8
122;Aitvaras;NAMINUKAI;6048701733;Ne;0;5;0;5
123;Aitvaras;NAMINUKAI;8043062737;Taip;0;3;0;3
124;Aitvaras;NAMINUKAI;3005447572;Ne;1;2;0;3
125;Aitvaras;NAMINUKAI;1549552392;Ne;0;4;0;4
126;Aitvaras;NAMINUKAI;9490714865;Ne;0;5;0;5
127;Aitvaras;NAMINUKAI;1498630458;Ne;4;0;0;4
128;Aitvaras;NAMINUKAI;5967188507;Ne;0;12;0;12
129;Aitvaras;NAMINUKAI;5161069611;Ne;0;6;0;6
130;Aitvaras;NAMINUKAI;7934344218;Ne;1;1;0;2
131;Aitvaras;NAMINUKAI;6279152796;Ne;0;1;0;1
132;Aitvaras;ŠELMIAI;4984058405;Taip;0;4;0;4
133;Aitvaras;ŠELMIAI;9725401255;Ne;15;0;0;15
134;Aitvaras;ŠELMIAI;4547342872;Ne;3;2;1;6
135;Aitvaras;ŠELMIAI;5684526288;Taip;0;1;0;1
136;Aitvaras;ŠELMIAI;5601517340;Ne;0;11;0;11
137;Aitvaras;ŠELMIAI;8756012613;Ne;0;0;1;1
138;Aitvaras;ŠELMIAI;1203732956;Ne;3;0;0;3
139;Aitvaras;ŠELMIAI;5782609781;Ne;11;1;0;12
140;Aitvaras;ŠELMIAI;7805819121;Ne;17;0;0;17
141;Aitvaras;ŠELMIAI;8558414510;Ne;2;1;0;3
142;Aitvaras;ŠELMIAI;4551774368;Ne;2;1;0;3
143;Aitvaras;ŠELMIAI;7352233454;Ne;0;0;4;4
144;Aitvaras;ŠELMIAI;1901118931;Ne;0;1;0;1
145;Aitvaras;ŠELMIAI;4812423010;Ne;17;2;0;19
146;Aitvaras;ŠELMIAI;8644983502;Ne;5;1;0;6
147;Aitvaras;ŠELMIAI;9295561516;Ne;0;2;1;3
148;Aitvaras;ŠELMIAI;6188186413;Ne;8;1;0;9
149;Aitvaras;KODĖLČIUKAI;4613021421;Ne;5;2;0;7
150;Aitvaras;KODĖLČIUKAI;2887681961;Ne;9;1;0;10
151;Aitvaras;KODĖLČIUKAI;4760801928;Ne;15;0;0;15
152;Aitvaras;KODĖLČIUKAI;7136674662;Ne;0;2;0;2
153;Aitvaras;KODĖLČIUKAI;7922937851;Ne;0;6;0;6
154;Aitvaras;KODĖLČIUKAI;4163871634;Ne;5;1;0;6
155;Aitvaras;KODĖLČIUKAI;3988226974;Ne;5;1;0;6
156;Aitvaras;KODĖLČIUKAI;1070324386;Ne;0;1;0;1
157;Aitvaras;KODĖLČIUKAI;1599296739;Taip;5;10;5;20
158;Aitvaras;KODĖLČIUKAI;4987412561;Ne;4;0;1;5
159;Aitvaras;KODĖLČIUKAI;2239387580;Ne;0;1;0;1
160;Aitvaras;KODĖLČIUKAI;9949206639;Ne;0;1;0;1
161;Aitvaras;KODĖLČIUKAI;2892898328;Taip;0;1;1;2
162;Aitvaras;KODĖLČIUKAI;3749008647;Ne;0;0;7;7
163;Aitvaras;KODĖLČIUKAI;2871973045;Ne;5;0;0;5
164;Aitvaras;KODĖLČIUKAI;9218287162;Taip;4;1;0;5
165;Aitvaras;KODĖLČIUKAI;5093291829;Ne;11;0;0;11
166;Aitvaras;KODĖLČIUKAI;6119148164;Ne;7;2;0;9
167;Aitvaras;PABIRUČIAI;7971913889;Ne;7;2;1;10
168;Aitvaras;PABIRUČIAI;5563725441;Ne;1;0;0;1
169;Aitvaras;PABIRUČIAI;1961795617;Ne;0;0;1;1
170;Aitvaras;PABIRUČIAI;9081528512;Ne;4;0;0;4
171;Aitvaras;PABIRUČIAI;9494510876;Ne;4;12;0;16
172;Aitvaras;PABIRUČIAI;6689082073;Ne;0;2;6;8
173;Aitvaras;PABIRUČIAI;4816698202;Ne;0;1;1;2
174;Aitvaras;PABIRUČIAI;2817620246;Ne;1;0;0;1
175;Aitvaras;PABIRUČIAI;4560348711;Ne;1;0;0;1
176;Aitvaras;PABIRUČIAI;4251238917;Ne;8;0;0;8
177;Aitvaras;PABIRUČIAI;8003130815;Ne;5;0;3;8
178;Aitvaras;PABIRUČIAI;2045368104;Ne;0;1;3;4
179;Aitvaras;PABIRUČIAI;6660146833;Ne;0;1;1;2
180;Aitvaras;PABIRUČIAI;1026413538;Ne;15;0;2;17
